date,open,high,close,low,vol,amount,ratio
1991-04-03,49.0,49.0,49.0,49.0,100.0,5000.0,1.0
1991-04-04,48.76,48.76,48.76,48.76,300.0,15000.0,1.0
1991-04-05,48.52,48.52,48.52,48.52,200.0,10000.0,1.0
1991-04-08,48.04,48.04,48.04,48.04,200.0,10000.0,1.0
1991-04-09,47.8,47.8,47.8,47.8,400.0,19000.0,1.0
1991-04-10,47.56,47.56,47.56,47.56,1500.0,71000.0,1.0
1991-04-12,47.08,47.08,47.08,47.08,800.0,38000.0,1.0
1991-04-16,46.38,46.38,46.38,46.38,200.0,9000.0,1.0
1991-04-17,46.15,46.15,46.15,46.15,100.0,5000.0,1.0
1991-04-18,45.92,45.92,45.92,45.92,400.0,18000.0,1.0
1991-04-19,45.69,45.69,45.69,45.69,200.0,9000.0,1.0
1991-04-23,45.0,45.0,45.0,45.0,2800.0,126000.0,1.0
1991-04-24,44.78,44.78,44.78,44.78,1600.0,72000.0,1.0
1991-04-25,44.56,44.56,44.56,44.56,1500.0,67000.0,1.0
1991-04-26,44.34,44.34,44.34,44.34,800.0,35000.0,1.0
1991-04-29,43.9,43.9,43.9,43.9,400.0,17000.0,1.0
1991-04-30,43.68,43.68,43.68,43.68,200.0,9000.0,1.0
1991-05-02,43.46,43.46,43.46,43.46,200.0,9000.0,1.0
1991-05-03,43.24,43.24,43.24,43.24,300.0,13000.0,1.0
1991-05-07,42.59,42.59,42.59,42.59,200.0,8000.0,1.0
1991-05-08,42.38,42.38,42.38,42.38,10900.0,462000.0,1.0
1991-05-09,42.17,42.17,42.17,42.17,1500.0,63000.0,1.0
1991-05-10,41.96,41.96,41.96,41.96,2000.0,84000.0,1.0
1991-05-13,41.54,41.54,41.54,41.54,1900.0,79000.0,1.0
1991-05-14,41.33,41.33,41.33,41.33,5500.0,227000.0,1.0
1991-05-15,41.12,41.12,41.12,41.12,38700.0,1591000.0,1.0
1991-05-16,40.91,40.91,40.91,40.91,49300.0,2017000.0,1.0
1991-05-17,40.71,40.71,40.71,40.71,41900.0,1706000.0,1.0
1991-05-20,40.31,40.31,40.31,40.31,5100.0,205000.0,1.0
1991-05-21,40.11,40.11,40.11,40.11,6300.0,253000.0,1.0
1991-05-22,39.91,39.91,39.91,39.91,4300.0,171000.0,1.0
1991-05-23,39.71,39.71,39.71,39.71,1700.0,67000.0,1.0
1991-05-24,39.51,39.51,39.51,39.51,300.0,12000.0,1.0
1991-05-27,39.11,39.11,39.11,39.11,500.0,19000.0,1.0
1991-05-28,38.91,38.91,38.91,38.91,300.0,12000.0,1.0
1991-05-29,38.72,38.72,38.72,38.72,3600.0,139000.0,1.0
1991-05-30,38.53,38.53,38.53,38.53,1400.0,54000.0,1.0
1991-05-31,38.34,38.34,38.34,38.34,100.0,4000.0,1.0
1991-06-03,37.96,37.96,37.96,37.96,700.0,26000.0,1.0
1991-06-04,37.77,37.77,37.77,37.77,100.0,4000.0,1.0
1991-06-06,37.39,37.39,37.39,37.39,400.0,15000.0,1.0
1991-06-07,37.2,37.2,37.2,37.2,100.0,4000.0,1.0
1991-06-10,36.82,36.82,36.82,36.82,1500.0,55000.0,1.0
1991-06-11,36.64,36.64,36.64,36.64,1200.0,44000.0,1.0
1991-06-12,36.46,36.46,36.46,36.46,1500.0,55000.0,1.0
1991-06-13,36.28,36.28,36.28,36.28,3400.0,123000.0,1.0
1991-06-14,36.1,36.1,36.1,36.1,700.0,25000.0,1.0
1991-06-17,35.74,35.74,35.74,35.74,500.0,18000.0,1.0
1991-06-18,35.56,35.56,35.56,35.56,1000.0,35000.0,1.0
1991-06-19,35.38,35.38,35.38,35.38,5700.0,202000.0,1.0
1991-06-20,35.2,35.2,35.2,35.2,3000.0,105000.0,1.0
1991-06-21,35.02,35.02,35.02,35.02,200.0,7000.0,1.0
1991-06-24,34.67,34.67,34.67,34.67,2500.0,87000.0,1.0
1991-06-25,34.5,34.5,34.5,34.5,1200.0,41000.0,1.0
1991-06-26,34.33,34.33,34.33,34.33,400.0,14000.0,1.0
1991-06-27,34.16,34.16,34.16,34.16,400.0,14000.0,1.0
1991-06-28,33.99,33.99,33.99,33.99,200.0,7000.0,1.0
1991-07-01,33.65,33.65,33.65,33.65,200.0,7000.0,1.0
1991-07-02,33.48,33.48,33.48,33.48,200.0,7000.0,1.0
1991-07-04,33.14,33.14,33.14,33.14,1100.0,36000.0,1.0
1991-07-05,32.97,32.97,32.97,32.97,200.0,6000.0,1.0
1991-07-08,32.65,32.65,32.65,32.65,900.0,29000.0,1.0
1991-07-10,32.33,32.33,32.33,32.33,600.0,19000.0,1.0
1991-07-11,32.17,32.17,32.17,32.17,100.0,3000.0,1.0
1991-07-15,31.69,31.69,31.69,31.69,400.0,13000.0,1.0
1991-07-19,31.05,31.05,31.05,31.05,100.0,3000.0,1.0
1991-07-24,30.44,30.44,30.44,30.44,200.0,6000.0,1.0
1991-07-26,30.14,30.14,30.14,30.14,300.0,9000.0,1.0
1991-07-29,29.84,29.84,29.84,29.84,700.0,21000.0,1.0
1991-07-30,29.69,29.69,29.69,29.69,700.0,21000.0,1.0
1991-07-31,29.54,29.54,29.54,29.54,100.0,3000.0,1.0
1991-08-01,29.39,29.39,29.39,29.39,700.0,20000.0,1.0
1991-08-02,29.24,29.24,29.24,29.24,100.0,3000.0,1.0
1991-08-19,20.996,21.39,21.39,20.734,310000.0,4983000.0,1.312
1991-08-20,21.39,21.39,20.668,20.603,196900.0,3135000.0,1.312
1991-08-21,20.668,20.668,20.406,20.078,343100.0,5300000.0,1.312
1991-08-22,20.406,20.406,19.553,19.553,284100.0,4298000.0,1.312
1991-08-23,19.553,19.881,19.684,18.765,438100.0,6405000.0,1.312
1991-08-26,20.471,20.471,20.209,20.078,277200.0,4267000.0,1.312
1991-08-27,20.143,20.209,19.946,19.815,208500.0,3177000.0,1.312
1991-08-28,20.012,20.012,19.815,19.684,243900.0,3688000.0,1.312
1991-08-29,19.75,19.881,19.815,19.684,229600.0,3455000.0,1.312
1991-08-30,19.684,19.815,19.75,19.684,225100.0,3379000.0,1.312
1991-09-02,19.684,19.684,19.684,19.225,231600.0,3440000.0,1.312
1991-09-03,19.684,19.684,19.684,19.29,287400.0,4271000.0,1.312
1991-09-04,19.421,19.487,19.487,19.29,160400.0,2367000.0,1.312
1991-09-05,19.29,19.29,19.159,18.765,484000.0,7030000.0,1.312
1991-09-06,18.765,18.765,17.978,17.716,326700.0,4506000.0,1.312
1991-09-09,17.978,18.24,18.24,17.978,629700.0,8653000.0,1.312
1991-09-10,17.978,18.306,18.306,17.978,423500.0,5856000.0,1.312
1991-09-11,18.175,18.897,18.897,18.175,452800.0,6351000.0,1.312
1991-09-12,18.831,19.028,18.962,18.765,352400.0,5086000.0,1.312
1991-09-13,18.897,19.028,19.028,18.765,752500.0,10822000.0,1.312
1991-09-16,18.765,18.831,18.765,18.503,224000.0,3186000.0,1.312
1991-09-17,18.634,18.7,18.7,18.503,300900.0,4265000.0,1.312
