date,open,max,min,close,turn,volume,dailyreturn
1991-01-29,0.1098,0.1098,0.1098,0.1098,300,22000,
1991-01-30,0.1093,0.1093,0.1093,0.1093,1700,123000,-0.46%
1991-01-31,0.1093,0.1093,0.1093,0.1093,--,--,0.00%
1991-02-04,0.1098,0.1098,0.1098,0.1098,5600,410000,0.46%
1991-02-05,0.1103,0.1103,0.1103,0.1103,2900,213000,0.46%
1991-02-06,0.1108,0.1108,0.1108,0.1108,2900,215000,0.45%
1991-02-07,0.1114,0.1114,0.1114,0.1114,4800,357000,0.54%
1991-02-08,0.1119,0.1119,0.1119,0.1119,6600,493000,0.45%
1991-02-11,0.1125,0.1125,0.1125,0.1125,3300,249000,0.54%
1991-02-12,0.1123,0.1123,0.1123,0.1123,23600,1778000,-0.18%
1991-02-13,0.1137,0.1137,0.1137,0.1137,3300,252000,1.25%
1991-02-22,0.1143,0.1143,0.1143,0.1143,11600,889000,0.53%
1991-02-25,0.1137,0.1137,0.1137,0.1137,41000,3143000,-0.52%
1991-02-26,0.1131,0.1131,0.1131,0.1131,10000,762000,-0.53%
1991-02-27,0.1125,0.1125,0.1125,0.1125,25800,1957000,-0.53%
1991-02-28,0.1119,0.1119,0.1119,0.1119,4600,347000,-0.53%
1991-03-01,0.1113,0.1113,0.1113,0.1113,2800,210000,-0.54%
1991-03-04,0.1179,0.1179,0.1179,0.1179,3000,222000,5.93%
1991-03-05,0.1173,0.1173,0.1173,0.1173,2200,163000,-0.51%
1991-03-06,0.1168,0.1168,0.1168,0.1168,2100,154000,-0.43%
1991-03-07,0.1162,0.1162,0.1162,0.1162,500,37000,-0.51%
1991-03-08,0.1157,0.1157,0.1157,0.1157,1000,73000,-0.43%
1991-03-11,0.1151,0.1151,0.1151,0.1151,1500,108000,-0.52%
1991-03-12,0.1146,0.1146,0.1146,0.1146,1300,93000,-0.43%
1991-03-13,0.114,0.114,0.114,0.114,3900,279000,-0.52%
1991-03-14,0.1134,0.1134,0.1134,0.1134,3200,228000,-0.53%
1991-03-15,0.1129,0.1129,0.1129,0.1129,1300,92000,-0.44%
1991-03-18,0.1123,0.1123,0.1123,0.1123,2600,182000,-0.53%
1991-03-19,0.1118,0.1118,0.1118,0.1118,1500,105000,-0.45%
1991-03-20,0.1112,0.1112,0.1112,0.1112,1900,132000,-0.54%
1991-03-21,0.1106,0.1106,0.1106,0.1106,1200,83000,-0.54%
1991-03-22,0.1101,0.1101,0.1101,0.1101,1000,69000,-0.45%
1991-03-25,0.1095,0.1095,0.1095,0.1095,400,27000,-0.54%
1991-03-26,0.109,0.109,0.109,0.109,400,27000,-0.46%
1991-03-27,0.1084,0.1084,0.1084,0.1084,9000,606000,-0.55%
1991-03-28,0.1078,0.1078,0.1078,0.1078,400,27000,-0.55%
1991-03-29,0.1061,0.1061,0.1061,0.1061,1200,79000,-1.58%
1991-04-02,0.105,0.105,0.105,0.105,1400,92000,-1.04%
1991-04-03,0.1045,0.1045,0.1045,0.1045,1100,72000,-0.48%
1991-04-04,0.1039,0.1039,0.1039,0.1039,700,45000,-0.57%
1991-04-05,0.1034,0.1034,0.1034,0.1034,1400,90000,-0.48%
1991-04-08,0.1029,0.1029,0.1029,0.1029,200,13000,-0.48%
1991-04-09,0.1025,0.1025,0.1025,0.1025,100,6000,-0.39%
1991-04-10,0.102,0.102,0.102,0.102,400,25000,-0.49%
1991-04-11,0.1015,0.1015,0.1015,0.1015,200,13000,-0.49%
1991-04-12,0.101,0.101,0.101,0.101,700,44000,-0.49%
1991-04-16,0.1,0.1,0.1,0.1,300,18000,-0.99%
1991-04-17,0.0995,0.0995,0.0995,0.0995,200,12000,-0.50%
1991-04-18,0.0995,0.0995,0.0995,0.0995,--,--,0.00%
1991-04-19,0.0986,0.0986,0.0986,0.0986,300,18000,-0.90%
1991-04-22,0.0986,0.0986,0.0986,0.0986,--,--,0.00%
1991-04-23,0.0971,0.0971,0.0971,0.0971,100,6000,-1.52%
1991-04-24,0.0966,0.0966,0.0966,0.0966,100,6000,-0.51%
1991-04-25,0.0962,0.0962,0.0962,0.0962,200,12000,-0.41%
1991-04-26,0.0957,0.0957,0.0957,0.0957,400,24000,-0.52%
1991-04-29,0.0947,0.0947,0.0947,0.0947,500,29000,-1.04%
1991-04-30,0.0942,0.0942,0.0942,0.0942,600,35000,-0.53%
1991-05-02,0.0937,0.0937,0.0937,0.0937,600,35000,-0.53%
1991-05-03,0.0932,0.0932,0.0932,0.0932,500,29000,-0.53%
1991-05-06,0.0932,0.0932,0.0932,0.0932,--,--,0.00%
1991-05-07,0.0923,0.0923,0.0923,0.0923,1000,57000,-0.97%
1991-05-08,0.0918,0.0918,0.0918,0.0918,2000,113000,-0.54%
1991-05-09,0.0913,0.0913,0.0913,0.0913,8700,481000,-0.54%
1991-05-10,0.0908,0.0908,0.0908,0.0908,4900,274000,-0.55%
1991-05-13,0.0903,0.0903,0.0903,0.0903,8700,481000,-0.55%
1991-05-14,0.0898,0.0908,0.0898,0.0898,20500,1133000,-0.55%
1991-05-15,0.0913,0.0913,0.0913,0.0913,11600,648000,1.67%
1991-05-16,0.0918,0.0918,0.0918,0.0918,9200,516000,0.55%
1991-05-17,0.0923,0.0923,0.0923,0.0923,37800,2134000,0.54%
1991-05-20,0.0928,0.0928,0.0928,0.0928,53300,3041000,0.54%
1991-05-21,0.0932,0.0932,0.0932,0.0932,38300,2196000,0.43%
1991-05-22,0.0937,0.0937,0.0937,0.0937,48800,2813000,0.54%
1991-05-23,0.0942,0.0942,0.0942,0.0942,31200,1791000,0.53%
1991-05-24,0.0928,0.0928,0.0928,0.0928,4100,804000,-1.49%
1991-05-27,0.0923,0.0923,0.0923,0.0923,25300,1426000,-0.54%
1991-05-28,0.0923,0.0923,0.0923,0.0923,--,--,0.00%
1991-05-29,0.0923,0.0923,0.0923,0.0923,--,--,0.00%
1991-05-30,0.0923,0.0923,0.0923,0.0923,--,--,0.00%
1991-05-31,0.0923,0.0923,0.0923,0.0923,--,--,0.00%
1991-06-03,0.0923,0.0923,0.0923,0.0923,--,--,0.00%
1991-06-04,0.0923,0.0923,0.0923,0.0923,--,--,0.00%
1991-06-05,0.0923,0.0923,0.0923,0.0923,--,--,0.00%
1991-06-06,0.0923,0.0923,0.0923,0.0923,--,--,0.00%
1991-06-07,0.0923,0.0923,0.0923,0.0923,--,--,0.00%
1991-06-10,0.087,0.087,0.087,0.087,1500,47000,-5.74%
1991-06-11,0.072,0.0899,0.0708,0.072,17300,613000,-17.24%
1991-06-12,0.0911,0.0934,0.0882,0.0911,25200,996000,26.53%
1991-06-13,0.0899,0.0899,0.0859,0.0899,19800,746000,-1.32%
1991-06-14,0.0859,0.0859,0.0789,0.0859,15700,556000,-4.45%
1991-06-17,0.0815,0.0846,0.0809,0.0815,10400,344000,-5.12%
1991-06-18,0.084,0.0859,0.0834,0.084,14000,478000,3.07%
1991-06-19,0.0846,0.0871,0.0834,0.0846,23800,816000,0.71%
1991-06-20,0.0846,0.0846,0.0809,0.0846,24300,809000,0.00%
