代码	名称	涨幅%%	涨跌	最高%%	现价	开盘%%	现量	投资收益	市现率	市净率	市盈(动)	每股未分配	每股未分配	昨收	资产负债率%%	人均持股	净利润率%%	细分行业	流通股本(万)	地区	振幅%%	
000001	平安银行	2.33	0.27	3.72	11.84	-3.37	168537	210400.00	0.93	          1.12	     7.31	          3.72	          3.72	11.57	94.13	         28220	         24.87	银行	    1180405.50	深圳	8.12	
000002	万  科Ａ	-0.07	-0.01	0.70	14.22	-3.23	154233	91569.05	-23.08	          1.80	    16.21	          3.74	          3.74	14.23	78.06	         20276	          9.64	全国地产	     971771.56	深圳	6.04	
000004	国农科技	-9.14	-2.63	6.05	26.13	-6.12	1174	-12.77	-337.10	         26.93	   905.17	         -0.17	         -0.17	28.76	53.60	          7682	          2.04	生物制药	       8387.54	深圳	15.82	
000005	世纪星源	--  	--  	--  	5.88	--  	0	0.00	155.10	          8.32	--  	         -0.59	         -0.59	5.88	51.81	          5924	        -63.91	区域地产	      91374.29	深圳	0.00	
000006	深振业Ａ	-1.26	-0.12	4.92	9.43	-7.33	13212	-17.10	-20.19	          3.01	    24.66	          1.00	          1.00	9.55	63.26	         15192	         12.76	区域地产	     134148.73	深圳	13.82	
000007	零七股份	--  	--  	--  	29.17	--  	0	409.82	106.08	         19.36	--  	         -1.37	         -1.37	29.17	33.69	         15172	        -12.74	酒店餐饮	      20588.71	深圳	0.00	
000008	神州高铁	-3.07	-0.65	4.02	20.50	-5.34	840	1252.70	-164.80	          5.90	   117.66	          0.06	          0.06	21.15	14.90	         21106	         14.03	综合类	      21359.40	深圳	11.82	
000009	中国宝安	-1.51	-0.15	2.51	9.80	-7.54	30205	22453.46	-194.41	          4.18	    65.87	          0.91	          0.91	9.95	62.97	         12636	          5.94	全国地产	     148966.91	深圳	11.76	
000010	深华新	-6.51	-0.42	5.27	6.03	-6.82	3498	0.00	-16.14	          6.47	  1090.76	         -0.31	         -0.31	6.45	70.72	         10199	          0.40	建筑施工	      35815.75	北京	12.09	
000011	深物业A	-7.24	-0.67	4.65	8.58	-8.86	2599	676.75	-23.04	          2.59	    82.04	          1.89	          1.89	9.25	47.52	          4995	          9.20	区域地产	      17586.25	深圳	14.59	
000012	南  玻Ａ	-4.02	-0.37	1.52	8.83	-5.54	6835	4245.43	51.98	          2.44	    44.53	          1.58	          1.58	9.20	50.55	          8301	          6.19	玻璃	     130255.21	深圳	10.00	
000014	沙河股份	-9.97	-1.75	2.56	15.80	-9.97	695	0.00	-121.89	          4.71	   109.17	          1.31	          1.31	17.55	65.48	         12106	          7.93	全国地产	      20170.51	深圳	12.54	
000016	深康佳Ａ	--  	--  	--  	30.16	--  	0	718.53	518.42	          9.56	--  	          0.36	          0.36	30.16	74.87	         11594	         -3.32	家用电器	      59991.50	深圳	0.00	
000017	深中华A	-7.42	-0.69	4.09	8.61	-4.73	1422	0.00	-844.95	        385.33	  5704.28	         -2.18	         -2.18	9.30	74.98	          7084	          0.54	文教休闲	      30297.88	深圳	13.66	
