代码,名称,收入同比%%,利润同比%%,营业利润率%%,市销率,市净率,市现率,市盈(动),总金额,量比,细分行业,地区,振幅%%,均价,内盘,外盘,内外比,买量
000001,平安银行,34.09,15.02,32.78,3.64,1.12,0.93,7.31,3273803264,1.4,银行,深圳,8.12,11.63,1539485,1276261,1.21,549520
000002,万  科Ａ,22.72,0.77,17.35,3.13,1.8,-23.08,16.21,3218100480,1.33,全国地产,深圳,6.04,14.02,1462468,832228,1.76,404907
000004,国农科技,117.08,125.75,10.98,36.85,26.93,-337.1,905.17,175093968,0.79,生物制药,深圳,15.82,27.89,29147,33636,0.87,48
000005,世纪星源,52.1,8.05,-64.57,148.17,8.32,155.1,--  ,0,0,区域地产,深圳,0,5.88,0,0,--  ,0
000006,深振业Ａ,311.53,425.18,17.93,6.29,3.01,-20.19,24.66,504695104,0.82,区域地产,深圳,13.82,9.3,318448,224092,1.42,3542
000007,零七股份,0.6,-89.72,-13.26,115.33,19.36,106.08,--  ,0,0,酒店餐饮,深圳,0,29.17,0,0,--  ,0
000008,神州高铁,245.04,710.43,16.21,33.02,5.9,-164.8,117.66,174404592,0.97,综合类,深圳,11.82,20.78,32875,51034,0.64,1710
000009,中国宝安,9.97,-48.53,11.1,7.82,4.18,-194.41,65.87,934755712,0.85,全国地产,深圳,11.76,9.67,522938,444144,1.18,49991
000010,深华新,279.01,125.34,2.68,8.73,6.47,-16.14,1090.76,114543728,0.61,建筑施工,北京,12.09,6.27,94768,87958,1.08,814
000011,深物业A,-32.43,-72.19,12.71,15.09,2.59,-23.04,82.04,143588000,0.77,区域地产,深圳,14.59,8.84,86911,75538,1.15,1384
000012,南  玻Ａ,1.85,-65.08,4.54,5.51,2.44,51.98,44.53,193229792,0.82,玻璃,深圳,10,8.87,116690,101175,1.15,8
000014,沙河股份,-4.24,-41.64,-2.84,17.32,4.71,-121.89,109.17,219321088,0.81,全国地产,深圳,12.54,16.33,69525,64762,1.07,0
000016,深康佳Ａ,6.61,-768.9,-4.72,4.06,9.56,518.42,--  ,0,0,家用电器,深圳,0,30.16,0,0,--  ,0
000017,深中华A,-10.66,-77.8,1.03,62.02,385.33,-844.95,5704.28,92336840,0.83,文教休闲,深圳,13.66,9.02,57267,45117,1.27,568
000018,中冠A,9.69,-182.42,-10.93,577.01,24.59,3524.96,--  ,65425576,0.78,纺织,深圳,12.14,19.29,18707,15213,1.23,18
000019,深深宝Ａ,38.14,122.74,0.82,15.13,2.53,112.8,232.43,68744408,0.54,软饮料,深圳,11.43,8.47,38074,43053,0.88,182
000020,深华发Ａ,-32.15,873.76,5.22,14.64,12.32,213.84,128.43,62347408,0.66,元器件,深圳,10.43,13.3,26622,20271,1.31,0
000021,深科技,-6.38,1699.63,2.26,1.63,2.25,68.05,42.46,304994272,0.96,电脑设备,深圳,11.73,7.79,230212,161190,1.43,1007
000022,深赤湾Ａ,0.55,2.82,39.03,19.3,4.1,46.52,35.13,0,0,港口,深圳,0,26.37,0,0,--  ,0
000023,深天地Ａ,-8.58,258.45,3.82,10.1,11.52,-115.6,196.34,0,0,建筑施工,深圳,0,30.53,0,0,--  ,0
000024,招商地产,12.01,20.17,19.3,4.53,2.49,-11.07,18.99,0,0,全国地产,深圳,0,31.64,0,0,--  ,0
000025,特  力Ａ,-30.7,38.56,5.36,40.14,7.64,187.87,415.79,270628288,0.73,汽车服务,深圳,10.89,22,38998,84010,0.46,0
000026,飞亚达Ａ,2.51,-17.19,5.58,2.06,2.08,20.18,23.77,92960400,0.74,其他商业,深圳,12.2,9.11,55193,46812,1.18,18
000027,深圳能源,-10.95,-0.68,23.14,7.06,1.75,21.4,18.89,755060288,0.89,火力发电,深圳,11.17,10.16,379066,363872,1.04,6546
000028,国药一致,10.34,10.91,3.77,1.68,4.23,47.97,27.76,120578224,0.69,医药商业,深圳,10.24,57.24,12676,8388,1.51,3
000029,深深房Ａ,100.24,436.7,21.74,9.07,4.43,22.83,27.92,484407328,0.98,区域地产,深圳,16.56,10.76,217776,232548,0.94,208
000030,富奥股份,-12.64,-12.16,13.96,4.86,2.51,51.99,19.35,183363136,1,汽车配件,吉林,15.63,8.15,121125,103987,1.16,1210
000031,中粮地产,18.42,43.28,12.3,10.4,5.07,21.05,73.74,2413062144,0.82,全国地产,深圳,16.58,16.03,775601,729440,1.06,85
000032,深桑达Ａ,-30.53,64.53,-1.02,5.77,3.3,-159.51,--  ,104646392,0.96,元器件,深圳,12.62,12.81,45444,36240,1.25,0
000034,深信泰丰,-13.1,-55.87,-3.93,16.22,18.05,-134.13,74.67,465637376,1.88,综合类,深圳,8.91,9.67,139905,341553,0.41,0
000035,中国天楹,57.52,10.36,26.77,26.45,2.44,83.23,53.77,76625840,0.54,通信设备,江苏,11.07,12,34817,29022,1.2,380
000036,华联控股,-15.97,-1346.03,-15.45,70.63,3.5,-20.56,--  ,270707904,0.84,全国地产,深圳,12.52,6.16,238383,201293,1.18,1921
000037,深南电Ａ,23.35,-36.28,-40.27,6.27,3.49,12.8,--  ,96746168,1.06,火力发电,深圳,12.69,6.91,77478,62538,1.24,490
000038,深大通,85.37,91.79,3.72,25.57,22.83,1792.48,--  ,261935280,1.45,区域地产,深圳,10.66,26.34,36971,62468,0.59,0
000039,中集集团,1.84,46.68,6.21,1.69,2.2,-88.37,18.2,951418304,1.48,轻工机械,深圳,12.9,20.02,268625,206572,1.3,59256
000040,宝安地产,44.06,150.51,7.37,9.29,3.53,173.42,110.19,0,0,全国地产,深圳,0,9.67,0,0,--  ,0
000042,中洲控股,72.95,49.01,25.39,2.75,1.75,-12.75,7.64,88874248,0.54,全国地产,深圳,9.31,13.64,31652,33514,0.94,310
000043,中航地产,-17.9,-325.29,-7.22,3.29,1.6,-7.11,--  ,216822096,0.76,全国地产,深圳,13.01,8.21,108386,155803,0.7,0
000045,深纺织Ａ,31.67,135.43,2.8,7.23,2.07,1046.53,292.96,138630864,0.8,纺织,深圳,12.8,8.8,79878,77723,1.03,94
