代码,名称,卖量,未匹配量,流通股本(万),流通市值,AB股总市值,强弱度%%,活跃度,每笔均量,每笔换手,财务更新,上市日期,总股本(万),B股(或A),H股,总资产(万)
000001,平安银行,3379,--  ,1180405.5,       1397.60亿,       1694.15亿,3.39,4427,636,0.0005,20150814,19910403,1430867.63,0,0,257050800
000002,万  科Ａ,5013,--  ,971771.56,       1381.86亿,       1384.05亿,0.99,4366,526,0.0005,20150817,19910129,1104805.75,0,131495.55,53693768
000004,国农科技,865,--  ,8387.54,         21.92亿,         21.94亿,-8.08,2692,23,0.0028,20150827,19910114,8397.66,0,0,34866.01
000005,世纪星源,0,--  ,91374.29,         53.73亿,         53.76亿,1.06,0,--  ,--  ,20150725,19901210,91433.35,0,0,134159.73
000006,深振业Ａ,6513,--  ,134148.73,        126.50亿,        127.30亿,-0.2,3848,141,0.0011,20150829,19920427,134999.5,0,0,1177059.88
000007,零七股份,0,--  ,20588.71,         60.06亿,         67.37亿,1.06,0,--  ,--  ,20150829,19920413,23096.53,0,0,52609.05
000008,神州高铁,390,--  ,21359.4,         43.79亿,        164.64亿,-2.01,2560,33,0.0015,20150829,19920507,80314.42,0,0,327846.84
000009,中国宝安,130,--  ,148966.91,        145.99亿,        156.03亿,-0.45,4345,223,0.0015,20150828,19910625,159210.73,0,0,1534307.5
000010,深华新,323,--  ,35815.75,         21.60亿,         35.46亿,-5.45,2759,66,0.0018,20150818,19951027,58806.98,0,0,188770.95
000011,深物业A,1201,--  ,17586.25,         15.09亿,         51.14亿,-6.18,2874,57,0.0032,20150816,19920330,59597.91,6760.52,0,375656.88
000012,南  玻Ａ,5638,--  ,130255.21,        115.02亿,        183.25亿,-2.96,2795,78,0.0006,20150818,19920228,207533.56,76247.36,0,1532177.5
000014,沙河股份,3745,--  ,20170.51,         31.87亿,         31.87亿,-8.91,3214,42,0.0021,20150822,19920602,20170.51,0,0,212902.91
000016,深康佳Ａ,0,--  ,59991.5,        180.93亿,        363.12亿,1.06,0,--  ,--  ,20150829,19920327,120397.27,40561.23,0,1613279.88
000017,深中华A,472,--  ,30297.88,         26.09亿,         47.47亿,-6.36,2243,46,0.0015,20150820,19920331,55134.78,24836.3,0,5630.58
000018,中冠A,324,--  ,9972.04,         18.95亿,         32.14亿,-6.3,1051,32,0.0032,20150829,19920616,16914.24,6942.18,0,17323.35
000019,深深宝Ａ,18,--  ,25225.24,         20.71亿,         24.72亿,-5.11,1719,47,0.0019,20150825,19921012,30108.01,3136.32,0,110760.47
000020,深华发Ａ,2444,--  ,6467.54,          8.32亿,         36.41亿,-8.95,1938,24,0.0037,20150825,19920428,28316.11,10199.58,0,117277.86
000021,深科技,4636,--  ,146981.44,        117.59亿,        117.70亿,3.1,3526,111,0.0008,20150828,19940202,147125.94,0,0,1431806.75
000022,深赤湾Ａ,0,--  ,46486.73,        122.59亿,        170.02亿,1.06,0,--  ,--  ,20150827,19930505,64476.37,17952.9,0,671161.06
000023,深天地Ａ,0,--  ,13875.62,         42.36亿,         42.36亿,1.06,0,--  ,--  ,20150805,19930429,13875.62,0,0,145998.92
000024,招商地产,0,--  ,102641.64,        324.76亿,        815.03亿,1.06,0,--  ,--  ,20150825,19930607,257595.06,21235.74,0,16880926
000025,特  力Ａ,15048,--  ,17929.46,         38.37亿,         63.62亿,-8.95,2626,47,0.0026,20150826,19930621,29728.16,2640,0,114397.47
000026,飞亚达Ａ,1502,--  ,31107,         27.53亿,         34.76亿,-5.09,2505,41,0.0013,20150814,19930603,39276.78,8164.79,0,382085
000027,深圳能源,476,--  ,143752.5,        140.59亿,        387.73亿,-7.88,4309,172,0.0012,20150821,19930903,396449.16,0,0,4877652.5
000028,国药一致,161,--  ,23326.17,        138.30亿,        215.00亿,2.24,1415,15,0.0006,20150820,19930809,36263.19,5488.56,0,1381265.63
000029,深深房Ａ,275,--  ,89166,         91.75亿,        104.10亿,-2.68,4147,109,0.0012,20150829,19930915,101166,12000,0,446255.59
000030,富奥股份,919,--  ,56056.17,         48.43亿,        111.74亿,6.55,2892,78,0.0014,20150826,19930929,129325.14,3415.63,0,733050.06
000031,中粮地产,5430,--  ,181372.02,        289.83亿,        289.83亿,-2.96,4466,337,0.0019,20150829,19931008,181373.16,0,0,4955406
000032,深桑达Ａ,1558,--  ,23286.32,         28.90亿,         28.90亿,-8.95,1954,42,0.0018,20150730,19931028,23286.42,0,0,129097.51
000034,深信泰丰,34246,--  ,34006.42,         32.31亿,         34.01亿,-8.89,2472,195,0.0057,20150818,19940509,35797.35,0,0,44637.65
000035,中国天楹,408,--  ,35362.69,         40.95亿,         71.71亿,-6.08,1862,34,0.001,20150805,19940408,61927.89,0,0,397917.28
000036,华联控股,4673,--  ,112388.02,         66.76亿,         67.74亿,-2.35,3405,129,0.0011,20150831,19940617,114048.77,0,0,543445.69
000037,深南电Ａ,1881,--  ,33889.51,         22.94亿,         40.81亿,-7.58,2458,57,0.0017,20150825,19940701,60276.26,26385.44,0,514827.5
000038,深大通,1769,--  ,2803.19,          7.24亿,         24.87亿,-8.94,2192,45,0.0162,20150827,19940808,9622.79,0,0,63186.73
000039,中集集团,688,--  ,125597.1,        258.35亿,        258.48亿,6.82,3395,140,0.0011,20150828,19940408,268708.5,0,143048.05,9559349
000040,宝安地产,0,--  ,46458.83,         44.93亿,         45.41亿,1.06,0,--  ,--  ,20150826,19940808,46959.33,0,0,421361.69
000042,中洲控股,405,--  ,47879.07,         63.97亿,         63.98亿,-3.24,1791,36,0.0008,20150829,19940921,47892.6,0,0,2052834.38
000043,中航地产,18179,--  ,66696.14,         53.09亿,         53.09亿,-8.89,3341,79,0.0012,20150821,19940928,66696.14,0,0,2230940
000045,深纺织Ａ,23,--  ,40556.39,         35.97亿,         44.93亿,-1.89,2513,63,0.0015,20150828,19940815,50652.17,4943.02,0,281181.53
