代码,名称,净资产,少数股权,资产负债率%%,流动资产,固定资产,无形资产,流动负债,公积金,存货,应收帐款,营业收入,营业成本
000001,平安银行,15088000,0,94.13,0,369000,506400,0,5932600,0,0,4657500,0
000002,万  科Ａ,8727269,3052716.25,78.06,48999152,376758.91,95321.3,37896760,832910.63,33304668,189773.2,5026680,3496081.5
000004,国农科技,8148.8,8030.71,53.6,27242.49,3879.12,2073.56,15606.5,66.45,21844.92,189.92,5954.58,3813.68
000005,世纪星源,64652.65,0,51.81,22245.8,2536.1,0,64479.3,26976.98,1537.31,202.3,3628.53,2542.65
000006,深振业Ａ,423437.09,9030.92,63.26,953584.13,368.26,0,455966.94,48432.15,613334.5,1653.99,202261.44,134026.16
000007,零七股份,34805.05,79.1,33.69,31310.49,7468.37,27.22,16344.87,42324.12,1665.3,5251.16,5841.53,1096.3
000008,神州高铁,278995.59,0,14.9,136491.92,42377.51,6036.56,46795.64,192500.55,33559.81,49561.87,49859.95,27972.4
000009,中国宝安,373612.31,194501.09,62.97,1017441.31,168079.13,55227.3,585934.63,51620.25,622396.88,88377.25,199482.19,128855.32
000010,深华新,54813.01,463.45,70.72,67797.88,4401.43,519.62,110640.88,12939,22179.89,7223.43,40606.71,34733.4
000011,深物业A,197133.92,0,47.52,305899.88,7110.31,9621.62,157451.81,11995.15,249322.77,4033.12,33876.12,19905.4
000012,南  玻Ａ,751798.81,5936.5,50.55,167878.86,986040.19,92993.05,688688.94,126095.81,49580.39,56546.8,332303.94,264602.06
000014,沙河股份,67670.53,5829.8,65.48,192287.13,2156.65,79,67852.5,996.57,171984.27,723.16,18403.52,12838.83
000016,深康佳Ａ,379772.44,25601.52,74.87,1254657.25,175997.06,35464.85,1118923.5,129187.72,374580.47,220586.95,894455.88,779121.56
000017,深中华A,1231.95,176.91,74.98,5110.05,105.18,414.15,4221.72,62783.42,1495.97,700.89,7653.68,6999.25
000018,中冠A,13069.38,-174.21,25.56,6445.16,114.51,176,3357.73,3939.15,0,0,556.96,192.25
000019,深深宝Ａ,97619.56,2626.73,9.49,50343.43,38728.65,19363.92,8931.57,51818.64,13736.17,5826.85,16335.61,10557.76
000020,深华发Ａ,29552.85,0,74.8,89046.46,19419.28,4711.95,30418.46,10949.67,3388.9,14503.09,24873.46,20746.35
000021,深科技,523259.41,178.71,63.44,1084877.38,142943.23,14637.97,901261.88,69671.27,79898,190567.38,719910.75,692232.88
000022,深赤湾Ａ,415142.78,82784.78,25.81,61413.25,322338.03,106595.97,114247.15,16269.85,1935.85,23298.57,88078.8,46342.75
000023,深天地Ａ,36757,6244.8,70.55,130420.27,11728.42,915.5,101797.43,10252.63,43474.93,64254.88,41941.6,35167.3
000024,招商地产,3277769,1462113.88,71.92,15599496,178590.06,50320.71,8379581.5,889169.63,11270854,7573.81,1797394.75,1198651
000025,特  力Ａ,83305.06,1010.84,26.3,43726.55,13973.1,5332.06,26412.19,56419.26,839,410.25,15849.17,11693.95
000026,飞亚达Ａ,167439.77,324.91,56.09,280158.22,36787.03,3527.9,156355.16,52550.81,209619.17,44730.46,168379.31,103798.17
000027,深圳能源,2211363.5,272459.13,49.08,1519723.38,1530528.63,338992.69,1740750.63,431470.25,128751.6,281403.09,548868.19,383711.34
000028,国药一致,507940.06,9936.86,62.51,1196423.38,71104.05,14120.9,833908.88,186389.45,222712.34,785894.19,1281380.38,1180166.13
000029,深深房Ａ,234804.59,-12855.69,50.26,386676.97,5078.18,592.5,176249.91,97824.49,245441.84,27882.05,114755.27,69764.57
000030,富奥股份,447114.06,45654.68,32.78,338260.63,132692.47,24812.51,190795.38,52170.23,49870.5,104112.15,229811.67,187988.91
000031,中粮地产,571915.5,497594.34,78.42,4418432,57702,6083.56,2739303,27988.26,3437255.5,8612.69,278614.63,224423.09
000032,深桑达Ａ,87636.75,13563.4,21.61,76735.77,5722.49,27604.85,27463.21,20723.75,27183.64,10105.53,50110.65,43395.25
000034,深信泰丰,18840.9,0,57.79,24746.42,5695.68,464.07,25723.68,64072.68,10318.95,2866.86,20967.13,18866.65
000035,中国天楹,168886.55,0,57.56,68817.88,71891.18,184495.27,118081.32,94385.43,5387.9,15374.57,27110.75,11568.38
000036,华联控股,190557.77,61538.88,53.61,441307.41,28780.1,625.93,74102.56,15546.49,345596.34,690.71,9591.55,5071.95
000037,深南电Ａ,116807.65,8134.15,75.73,314164,180716.17,5517.27,347649,36275.07,127227.15,35697.21,65055.71,74690.77
000038,深大通,10893.57,3702.83,76.9,62300.03,6.17,0,47585.12,2234.82,55576.05,0,9725.74,7860.27
000039,中集集团,2509667.25,513419.81,68.38,4754012.5,1900928.25,443919.91,5032664,86361.6,1949833.75,1277812.25,3263729,2751928
000040,宝安地产,128756.27,-23.63,69.45,389969.31,6924.57,1309.95,290961.41,27375.21,341285.97,1673.8,48903.23,29313.18
000042,中洲控股,364666.91,107.58,82.23,1657580.13,17929.82,616.53,1076935.75,58488.8,1495457.63,1188.02,232675.84,111420.42
000043,中航地产,332692.41,76936.25,81.64,1672104.38,14395.57,2178.71,1009308.31,44666.5,1278667.5,44960.48,161340.75,116889.52
000045,深纺织Ａ,217454.88,0,22.66,167494.5,79165.5,4121.62,44591.73,158513,26257.75,21991.64,62099.32,58813.8
000046,泛海控股,994812.63,343499.41,86.76,8792317,56080.71,3347.96,4841816.5,204942.05,4267698,146575.22,214950.95,90314.21
000048,康达尔,66212.18,9754.55,63.61,140158.94,34974.19,13330.65,129322.76,4269.85,32417.55,4041.58,123202.65,77001.11
000049,德赛电池,81626.15,21939.65,68.31,297849.25,16308.05,4673.93,216290.84,816.93,47110.69,154628.95,379877.94,342024.34
000050,深天马Ａ,828210.94,41442.59,51.37,744936.56,730091.25,97567.18,507758.09,696756.06,149459.36,225039.05,513780.56,429019.19
000055,方大集团,126231.22,5844.72,67.35,305815.88,48320.89,9733.21,251443.66,7909.92,104386.65,135812.56,115011.55,94048.71
000056,深国商,190966.06,102452.96,62.82,13228.85,5848.73,131.47,218718.38,2430.87,1536.43,7529.47,17042.34,4047.26
