代码,名称,营业利润,投资收益,利润总额,税后利润,净利润,未分利润,经营现金流,总现金流,股东人数,人均持股,人均市值,换手%%,涨速%%,最低,昨收
000001,平安银行,1526700,210400,1525900,1158500,1158500,5325300,18252200,20429900,418294,28220,33.41万,2.39,0.33,11.06,11.57
000002,万  科Ａ,871893.38,91569.05,877700.81,678948.19,484627.91,4131856.75,-680835.56,-1788333,479264,20276,28.83万,2.36,0.14,13.47,14.23
000004,国农科技,653.59,-12.77,656.52,441.06,121.21,-1421.96,-650.93,-1414.32,10919,7682,20.07万,7.49,-1.02,25.95,28.76
000005,世纪星源,-2342.8,0,-2318.85,-2318.85,-2318.85,-53772.11,3466.26,-16.02,154249,5924,3.48万,0,--  ,--  ,5.88
000006,深振业Ａ,36261.76,-17.1,36046.1,26838.01,25808.27,135391.48,-63061.38,-22436.9,88304,15192,14.33万,4.04,-0.63,8.7,9.55
000007,零七股份,-774.7,409.82,-857.02,-971.74,-744.21,-31658.18,6351.18,-7234.31,13570,15172,44.26万,0,--  ,--  ,29.17
000008,神州高铁,8084.75,1252.7,9645.74,7709.85,6996.8,4418.21,-9990.44,4792.93,10120,21106,43.27万,3.93,-0.24,19.5,21.15
000009,中国宝安,22138.15,22453.46,26335.6,22884.32,11843.71,144927.2,-8025.58,-51654.51,117894,12636,12.38万,6.49,0.1,9.03,9.95
000010,深华新,1089.89,0,998.77,94.39,162.55,-18060.1,-21972.14,-6442.99,35116,10199,6.15万,5.1,-0.65,6.01,6.45
000011,深物业A,4306.16,676.75,4252.48,3116.28,3116.28,112577.42,-22190.9,-32573.05,35206,4995,4.29万,9.24,-0.23,8.33,9.25
000012,南  玻Ａ,15099.25,4245.43,22712.3,22059.64,20576.73,326942.03,35256.37,2772.42,156909,8301,7.33万,1.67,-0.78,8.42,9.2
000014,沙河股份,-522.26,0,800.15,1547.82,1459.62,26487.8,-2614.57,-11472.83,16662,12106,19.13万,6.66,0,15.8,17.55
000016,深康佳Ａ,-42192.05,718.53,-35571.98,-30461.8,-29695.35,43702.95,7004.28,43399.62,51744,11594,34.97万,0,--  ,--  ,30.16
000017,深中华A,78.83,0,83.23,59.25,41.61,-119953.57,-561.82,-584.03,42768,7084,6.10万,3.38,0.11,8.41,9.3
000018,中冠A,-60.85,-5.01,-60.85,-60.85,-60.85,-10437.67,91.17,84.89,9947,10025,19.05万,3.4,0.26,18.65,20.51
000019,深深宝Ａ,133.61,63.04,721.01,252.48,531.75,10744.55,2191.36,-8633.05,22334,11295,9.27万,3.22,1.23,8,8.75
000020,深华发Ａ,1297.45,2950.06,1346.83,1417.72,1417.72,-17452.1,1702.85,-139.17,30469,2123,2.73万,7.25,0,12.86,14.29
000021,深科技,16246.4,870.53,16821.6,13861.4,13861.4,166234.69,17296.7,-62741.78,103573,14191,11.35万,2.66,-0.24,7.16,7.84
000022,深赤湾Ａ,34375.2,4883.49,34466.9,31021.05,24197.73,282759.34,36552.25,-16091.26,35935,12936,34.11万,0,--  ,--  ,26.37
000023,深天地Ａ,1601.55,0,1693.45,1079.18,1078.82,8098.81,-3664.66,-1673.89,10139,13685,41.78万,0,--  ,--  ,30.53
000024,招商地产,346904.34,49311.46,347904.94,238814.72,214550.22,1998477.63,-736109.5,75150.46,98350,10436,33.02万,0,--  ,--  ,31.64
000025,特  力Ａ,849.78,62.42,850.94,730.87,765.03,-3137.61,3386.28,5120.91,13306,13475,28.84万,6.86,0,21.4,23.78
000026,飞亚达Ａ,9403.76,25,9554.21,7328.05,7310.93,60065.21,17225.36,4432,23948,12989,11.50万,3.28,0.11,8.65,9.43
000027,深圳能源,127010.85,27950.99,148326.63,120469.86,102628.9,709002.69,181163.09,243112.5,150842,9530,9.32万,5.17,-0.3,9.67,10.74
000028,国药一致,48244.95,2827.4,49499.1,39964.21,38731.92,267155.81,44823.95,30333.43,16448,14182,84.08万,0.9,0.27,54,58.6
000029,深深房Ａ,24944.74,22.03,24983.02,18640.4,18640.77,30635.47,45588.69,29651.56,56504,15780,16.24万,5.05,-0.86,9.81,10.69
000030,富奥股份,32077.55,22155.57,32706.3,30669.1,28867.02,233545.02,21492.5,30332.55,39485,14197,12.27万,4.02,-0.23,7.45,8.19
000031,中粮地产,34266.85,63151.46,34404.05,17545.9,19651.47,267615.59,137694.13,189458.11,271225,6687,10.69万,8.3,-0.43,14.99,16.65
000032,深桑达Ａ,-508.82,500.16,-489.68,-736.87,-352.85,21638.93,-1811.68,-3719.03,17575,13250,16.44万,3.51,0,12.41,13.79
000034,深信泰丰,-824.85,702.57,2333.74,2277.25,2277.25,-87602.96,-2535.34,1337.12,28279,12025,11.42万,14.16,0,9.5,10.55
000035,中国天楹,7258.42,0,7765.57,6668.31,6668.31,37213.09,8616.19,-9350.45,27540,12840,14.87万,1.81,0.08,11.31,12.47
000036,华联控股,-1481.71,289.48,-1550.85,-1687.55,-1562.97,51339.5,-32948.2,63597.07,96281,11673,6.93万,3.91,0.16,5.8,6.15
000037,深南电Ａ,-26198.13,-88.33,-12832.07,-12880.95,-10254.6,-13034.51,31885.51,29150.22,41617,8143,5.51万,4.13,-0.29,6.67,7.41
000038,深大通,361.42,0,218.65,-82.51,-89.58,-1552.74,138.72,138.57,5457,5137,13.27万,35.47,0,25.84,28.71
000039,中集集团,202674.41,74498.3,207747.8,165241,151819.5,1733712.38,-62545.3,63923.3,99247,12655,26.03万,3.78,-0.04,18.21,19.45
000040,宝安地产,3602.62,-325.61,3573.08,2058.59,2060.6,35882.9,2618.49,-20977.4,52682,8819,8.53万,0,--  ,--  ,9.67
000042,中洲控股,59065.51,545.31,58308.31,41878.12,41878.12,215823.41,-50188.05,-14787.45,27173,17620,23.54万,1.36,-0.22,13,13.96
000043,中航地产,-11654.92,53.75,-11773.63,-13651,-11143.55,201231.34,-74634.88,32272.9,26117,25537,20.33万,3.96,0,7.96,8.84
000045,深纺织Ａ,1737.2,4759.18,2517.59,766.8,766.8,1447.31,429.31,-46029.3,24710,16413,14.56万,3.89,1.6,8.3,9.14
000046,泛海控股,119213.47,12839.87,119689.2,88809.31,66100.36,230125.42,557085.44,1797528.25,63230,71949,86.63万,1.16,0.41,10.19,11.06
000048,康达尔,19828.13,365.98,20059.96,14813.44,14422.92,21513.6,27897.68,20167.81,21708,17785,41.53万,3.01,-0.55,22.1,24.3
000049,德赛电池,19694.24,1219.9,19771.76,15722.17,11498.82,55940.13,11882.8,-3887.13,26679,7693,28.30万,1.88,0.43,34,36.1
000050,深天马Ａ,2343.62,-200.55,27571.76,25785.96,25727.9,19461.53,83675.77,235625.02,42661,13460,18.31万,2.34,-0.72,13.2,14.53
000055,方大集团,7254.65,154.78,6032.93,4416.1,5131.75,37859.8,-27471.2,10974.57,45341,9267,5.49万,2.84,-1.66,5.83,6.21
000056,深国商,-1029.53,0,867.84,867.84,791.14,149434.06,1587.1,185.82,20534,6967,14.53万,4.56,0.24,19.1,21.11
000058,深 赛 格,7195.7,545.18,7218.72,5206.58,3490.61,4120.58,-9858.78,-22678.46,67495,7976,6.72万,4.56,0,8.42,9.36
000059,*ST华锦,24760.92,575.34,36481.3,27666.03,23749.15,55823.51,513568.94,-74040.88,68625,17494,11.21万,1.9,0,6.41,6.75
000060,中金岭南,20981.5,3442.61,21296.18,16670.46,16002.97,323008.25,37089.39,25242.9,171664,12008,12.93万,3.51,0.18,9.81,10.68
000061,农 产 品,7460.74,2216.04,12934.51,7944.52,4434.31,35846.01,49051.51,-16574.17,56298,28557,40.78万,1.26,-0.83,13.6,14.95
000062,深圳华强,20673.93,10033.98,21269.56,16414.25,16656.47,146946.27,-2940.4,8998.4,31054,21477,63.57万,2.96,0.13,27.68,30.76
000063,中兴通讯,7634.3,36226.8,214238.8,183218.59,161558.5,1233961.88,150788.59,26858.5,194677,17271,28.74万,3.29,0.24,15.7,16.59
000065,北方国际,7024.93,69.12,7073.81,6108.53,5974.43,53686.01,-50028.18,14440.4,18733,13527,31.87万,2.59,-0.08,23.55,26.17
000066,长城电脑,-42949.75,50744.06,-29241.4,-40418.05,-10498.66,58877.05,-59707.71,-5642.4,82006,16140,34.77万,0,--  ,--  ,21.54
000068,*ST华赛,-2877.12,-235.99,-2858.82,-2858.82,-2171.46,-177311.91,-2907.26,17680.77,25752,34819,33.11万,2.56,0,9.51,10.01
000069,华侨城Ａ,217501.3,21932.38,218851.72,160018.55,141441.8,1893924.25,15256.25,-134799.5,176650,17619,14.41万,5.37,-0.12,7.53,8.13
000070,特发信息,5276.62,55.4,5535.77,4684.33,3805.78,19248.75,-3224.74,-11641.25,28487,9077,15.04万,4.75,0,16.57,18.41
000078,海王生物,8212,35.27,8879.28,8605.66,5513.56,-69642.68,-42652.21,10539.65,90970,8033,9.22万,5.59,-0.08,11.48,12.76
000088,盐 田 港,17845.01,15445.36,17940.52,16712.15,15602.54,186734.73,2507.65,-39949.98,89216,21769,15.41万,1.49,0.99,6.2,6.5
000089,深圳机场,29514.05,-19.4,29570.3,22135.74,21644.86,436748.06,59269.32,2489.15,93261,21989,14.07万,2.24,-0.62,6.22,6.52
000090,天健集团,27553.99,141.92,28551.06,22076.65,22075.76,133560.44,-36223,-26393.3,31081,17777,23.48万,2.65,-0.15,12.2,13.41
000096,广聚能源,24357.7,20955.07,24352.65,18821.15,18735.67,82702.2,8318.78,26108.23,59078,8647,11.89万,2.78,-1.43,13.36,14.67
000099,中信海直,10662.3,0,11231.51,8431.15,8271.07,89762.49,-11713.07,-24167.01,56679,10693,13.89万,5.46,-0.3,12.7,14.11
000100,TCL 集团,134387.2,62482.2,237313.5,208895.3,162139.3,593039.06,466001.31,381592.16,658740,13655,5.76万,4.23,1.44,3.95,4.19
000150,宜华健康,422.42,0,485,211.6,113.15,18342.24,23673.13,-1867.95,14204,22810,120.21万,0,--  ,--  ,52.7
000151,中成股份,9082.69,0,9082.69,7040.91,7050.25,9355.28,-23765.88,-35665.94,32874,8108,14.64万,11.09,0,18.06,20.07
000153,丰原药业,1886.78,109.94,2502.37,1855.75,1864.59,23623.49,1976.8,-3522.7,37263,7961,6.73万,3.73,-0.82,8.28,9.07
000155,*ST川化,-13510,0,-11958.86,-11991.21,-11226.38,-252465.84,1595.95,-1791.1,33880,13872,8.60万,2.94,0,6.2,6.53
000156,华数传媒,23156.11,-0.94,25642.1,24979.75,25078.39,115695.11,26315.52,604164.94,23009,5143,15.72万,5.92,0,25.5,27.79
000157,中联重科,-41001.71,4951.24,-31499.6,-33487.67,-30983.25,1668577.63,-418059.81,-35691.3,593923,10543,5.64万,1.35,-0.18,5.35,5.75
000158,常山股份,-3798.7,175.66,-2346.5,-3360.62,-3351.61,40884.48,9840.32,13711.35,42509,16911,17.25万,2.69,-0.87,10.19,11.28
000159,国际实业,8566.03,6941.12,8081.52,5443.83,5032.93,122230.82,-10059.07,9000.15,61204,7861,5.42万,3.21,0.29,6.65,7.16
000166,申万宏源,1008459.63,350081.94,1008944,751547.38,735607.88,1797361.25,10589706,14257480,426275,7690,6.94万,2.18,-0.11,8.88,9.38
