代码,名称,最高,每股收益,每股净资,调整后净资,每股公积,每股未分配,权益比,净益率%%,销售毛利率%%,今开,净利润率%%
000001,平安银行,12,0.840㈡,10.54,0,4.15,3.72,5.87,          7.68㈡,--  ,11.18,24.87
000002,万  科Ａ,14.33,0.439㈡,7.9,0,0.75,3.74,16.25,          5.55㈡,30.45,13.77,9.64
000004,国农科技,30.5,0.014㈡,0.97,0,0.01,-0.17,23.37,          1.49㈡,35.95,27,2.04
000005,世纪星源,--  ,-0.025㈡,0.71,0,0.3,-0.59,48.19,         -3.59㈡,29.93,--  ,-63.91
000006,深振业Ａ,10.02,0.191㈡,3.14,0,0.36,1,35.97,          6.09㈡,33.74,8.85,12.76
000007,零七股份,--  ,-0.032㈡,1.51,0,1.83,-1.37,66.16,         -2.14㈡,81.23,--  ,-12.74
000008,神州高铁,22,0.087㈡,3.47,0,2.4,0.06,85.1,          2.51㈡,43.9,20.02,14.03
000009,中国宝安,10.2,0.074㈡,2.35,0,0.32,0.91,24.35,          3.17㈡,35.41,9.2,5.94
000010,深华新,6.79,0.003㈡,0.93,0,0.22,-0.31,29.04,          0.30㈡,14.46,6.01,0.4
000011,深物业A,9.68,0.052㈡,3.31,0,0.2,1.89,52.48,          1.58㈡,41.24,8.43,9.2
000012,南  玻Ａ,9.34,0.099㈡,3.62,0,0.61,1.58,49.07,          2.74㈡,20.37,8.69,6.19
000014,沙河股份,18,0.072㈡,3.35,0,0.05,1.31,31.78,          2.16㈡,30.24,15.8,7.93
000016,深康佳Ａ,--  ,-0.247㈡,3.15,0,1.07,0.36,23.54,         -7.82㈡,12.89,--  ,-3.32
000017,深中华A,9.68,0.001㈡,0.02,0,1.14,-2.18,21.88,          3.38㈡,8.55,8.86,0.54
000018,中冠A,21.14,-0.004㈡,0.77,0,0.23,-0.62,75.44,         -0.47㈡,65.48,18.66,-10.93
000019,深深宝Ａ,9,0.018㈡,3.24,0,1.72,0.36,88.14,          0.54㈡,35.37,8.28,3.26
000020,深华发Ａ,14.35,0.050㈡,1.04,0,0.39,-0.62,25.2,          4.80㈡,16.59,12.86,5.7
000021,深科技,8.08,0.094㈡,3.56,0,0.47,1.13,36.55,          2.65㈡,3.84,7.35,1.93
000022,深赤湾Ａ,--  ,0.375㈡,6.44,0,0.25,4.39,61.85,          5.83㈡,47.38,--  ,27.47
000023,深天地Ａ,--  ,0.078㈡,2.65,0,0.74,0.58,25.18,          2.94㈡,16.15,--  ,2.57
000024,招商地产,--  ,0.833㈡,12.72,0,3.45,7.76,19.42,          6.55㈡,33.31,--  ,11.94
000025,特  力Ａ,23.99,0.026㈡,2.8,0,1.9,-0.11,72.82,          0.92㈡,26.22,21.4,4.83
000026,飞亚达Ａ,9.8,0.186㈡,4.26,0,1.34,1.53,43.82,          4.37㈡,38.35,8.77,4.34
000027,深圳能源,10.87,0.259㈡,5.58,0,1.09,1.79,45.34,          4.64㈡,30.09,9.97,18.7
000028,国药一致,60,1.068㈡,14.01,0,5.14,7.37,36.77,          7.63㈡,7.9,55,3.02
000029,深深房Ａ,11.58,0.184㈡,2.32,0,0.97,0.3,52.62,          7.94㈡,39.21,10.03,16.24
000030,富奥股份,8.73,0.223㈡,3.44,3.44,0.4,1.81,60.99,          6.46㈡,18.2,7.83,12.56
000031,中粮地产,17.75,0.108㈡,3.15,0,0.15,1.48,11.54,          3.44㈡,19.45,15.33,7.05
000032,深桑达Ａ,14.15,-0.015㈡,3.76,0,0.89,0.93,67.88,         -0.40㈡,13.4,12.42,-0.7
000034,深信泰丰,10.44,0.064㈡,0.53,0,1.79,-2.45,42.21,         12.09㈡,10.02,9.5,10.86
000035,中国天楹,12.69,0.108㈡,4.74,4.74,1.52,0.6,42.44,          3.95㈡,57.33,11.5,24.6
000036,华联控股,6.57,-0.014㈡,1.7,1.7,0.14,0.45,35.06,         -0.82㈡,47.12,5.87,-16.3
000037,深南电Ａ,7.61,-0.170㈡,1.94,0,0.6,-0.22,22.69,         -8.78㈡,-14.81,6.67,-15.76
000038,深大通,28.9,-0.009㈡,1.13,0,0.23,-0.16,17.24,         -0.82㈡,19.18,26.4,-0.92
000039,中集集团,20.72,0.565㈡,9.34,0,0.32,6.45,26.25,          6.05㈡,15.68,18.5,4.65
000040,宝安地产,--  ,0.044㈡,2.74,0,0.58,0.76,30.56,          1.60㈡,40.06,--  ,4.21
000042,中洲控股,14.3,0.874㈡,7.61,0,1.22,4.51,17.76,         11.48㈡,52.11,13.3,18
000043,中航地产,9.11,-0.167㈡,4.99,0,0.67,3.02,14.91,         -3.35㈡,27.55,8.05,-6.91
000045,深纺织Ａ,9.47,0.015㈡,4.29,0,3.13,0.03,77.34,          0.35㈡,5.29,8.3,1.23
000046,泛海控股,12.05,0.145㈡,2.18,0,0.45,0.5,9.84,          6.64㈡,57.98,10.22,30.75
000048,康达尔,26.39,0.369㈡,1.69,0,0.11,0.55,31.72,         21.78㈡,37.5,22.1,11.71
000049,德赛电池,38.06,0.560㈡,3.98,0,0.04,2.73,24.97,         14.09㈡,9.96,34.6,3.03
000050,深天马Ａ,15.07,0.227㈡,7.32,0,6.16,0.17,46.31,          3.11㈡,16.5,13.74,5.01
000055,方大集团,6.43,0.068㈡,1.67,0,0.1,0.5,31.21,          4.07㈡,18.23,5.9,4.46
000056,深国商,21.21,0.030㈡,7.2,0,0.09,5.64,24.2,          0.41㈡,76.25,19.21,4.64
000058,深 赛 格,9.52,0.044㈡,1.83,0,0.65,0.05,57.53,          2.43㈡,15.29,8.51,9.32
000059,*ST华锦,6.72,0.148㈡,5.5,0,3.97,0.35,28.92,          2.70㈡,14.91,6.41,1.39
000060,中金岭南,10.92,0.072㈡,3.33,0,0.67,1.46,47.65,          2.17㈡,10.31,10,2.38
000061,农 产 品,14.9,0.026㈡,2.86,0,1.54,0.21,32.99,          0.91㈡,51.41,14.04,5.11
000062,深圳华强,32.5,0.250㈡,3.81,0,0,2.2,61.39,          6.56㈡,47.84,27.68,28.27
000063,中兴通讯,16.85,0.392㈡,8.32,0,2.14,2.99,30.34,          4.71㈡,33.71,15.75,3.52
000065,北方国际,27.38,0.230㈡,6.53,0,3.33,1.96,29.59,          3.34㈡,10.65,24.28,4.57
000066,长城电脑,--  ,-0.079㈡,1.87,0,0.47,0.44,6.5,         -4.23㈡,8.36,--  ,-0.32
000068,*ST华赛,10.07,-0.022㈡,0.58,0,1.19,-1.76,91.91,         -3.71㈡,19.23,9.51,-127.78
000069,华侨城Ａ,8.4,0.195㈡,3.98,0,0.09,2.6,29.94,          4.89㈡,51.87,7.67,13.92
000070,特发信息,18.99,0.140㈡,4.06,0,2.22,0.71,39.98,          3.46㈡,16.63,16.62,3.33
000078,海王生物,13.1,0.073㈡,2.22,0,2.12,-0.93,14.66,          3.29㈡,13.59,11.81,1.02
000088,盐 田 港,7.09,0.080㈡,2.67,0,0.37,0.96,70.79,          3.01㈡,51.97,6.42,129.14
000089,深圳机场,6.75,0.120㈡,4.84,0,1.37,2.13,78.92,          2.18㈡,27.8,6.3,14.66
000090,天健集团,13.88,0.400㈡,7.2,0,1.36,2.42,36.41,          5.55㈡,21.4,12.71,8.06
000096,广聚能源,15.55,0.355㈡,3.86,0,0.66,1.57,86.86,          9.20㈡,12.84,13.36,35.2
000099,中信海直,14.6,0.136㈡,4.51,0,1.7,1.48,60.32,          3.03㈡,31.36,12.7,14.66
000100,TCL 集团,4.26,0.140㈡,2,0,0.43,0.49,21.81,          6.62㈡,17.94,4,3.47
000150,宜华健康,--  ,0.003㈡,3.66,0,2.21,0.41,42.32,          0.07㈡,25.55,--  ,0.27
000151,中成股份,21.22,0.238㈡,3.19,0,1.49,0.32,33.97,          7.47㈡,23.16,18.09,13.48
000153,丰原药业,9.36,0.060㈡,3.67,0,1.57,0.76,51.33,          1.63㈡,26.51,8.5,2.39
000155,*ST川化,6.48,-0.239㈡,-1.98,0,1.72,-5.37,-74.42,--  ,7.21,6.2,-75.02
000156,华数传媒,30.57,0.200㈡,6.25,0,4.33,0.81,73.81,          2.80㈡,45.6,25.95,19.71
000157,中联重科,5.76,-0.040㈡,5.21,0,1.71,2.17,39.82,         -0.77㈡,23.92,5.5,-2.93
000158,常山股份,11.76,-0.040㈡,3.98,3.98,2.23,0.32,52.68,         -0.73㈡,3.42,10.33,-0.73
000159,国际实业,7.42,0.105㈡,4.51,0,0.78,2.54,70.72,          2.32㈡,13.24,6.75,16.37
000166,申万宏源,9.55,0.495㈡,3.11,0,0.3,1.21,10.62,         15.93㈡,--  ,9,43.14
000301,东方市场,4.84,0.074㈡,2.64,0,0.52,0.93,78.02,          2.80㈡,44.89,4.45,27.65
000333,美的集团,28.97,1.970㈡,10.76,10.76,3.59,6.07,32.55,         18.04㈡,27.43,27.85,10.09
000338,潍柴动力,10.13,0.242㈡,7.99,0,0.05,6.77,27.73,          3.03㈡,23.11,9.06,2.66
000400,许继电气,18.3,0.075㈡,5.7,0,0.82,3.51,54.45,          1.31㈡,23.23,16.58,3.46
000401,冀东水泥,9.38,0.147㈡,9.21,0,3.65,3.34,27.08,          1.59㈡,11.18,8.33,3.86
000402,金 融 街,9.25,0.287㈡,8.14,0,2.38,4.38,26.52,          3.53㈡,27.55,8.6,17.46
000403,ST生化,--  ,0.196㈡,1.75,0,0.42,0.11,38.58,         11.23㈡,56.78,--  ,20.95
000404,华意压缩,6.55,0.218㈡,3.83,0,1.97,0.84,29.79,          5.70㈡,15.75,6.06,3.27
000407,胜利股份,6.07,0.022㈡,2.3,0,0.64,0.5,39.48,          0.96㈡,10.97,5.64,1.15
000408,金谷源,12.2,-0.017㈡,0.52,0,0.57,-1.13,25.17,         -3.19㈡,1.87,11,-3.92
000409,山东地矿,7.11,-0.100㈡,2.08,0,0.98,0.1,27.2,         -4.80㈡,20.93,6.41,-32.64
000410,沈阳机床,19,-0.348㈡,3.17,0,1.63,0.37,11.43,        -10.98㈡,22.47,16.5,-8.56
000411,英特集团,15.38,0.169㈡,3.11,0,0.18,1.79,10.41,          5.45㈡,5.15,13.95,0.46
000413,东旭光电,8.05,0.163㈡,2.48,0,1.1,0.36,41.73,          6.56㈡,44.29,7.5,29.94
000415,渤海租赁,7.1,0.178㈡,2.9,0,1.1,0.82,11.34,          6.13㈡,49.1,6.41,14.1
000416,民生控股,11.49,0.048㈡,1.64,0,0.03,0.54,85.47,          2.95㈡,99.48,11.49,67.87
000417,合肥百货,8.14,0.225㈡,4.22,0,0.4,2.09,43.02,          5.34㈡,18.44,7.27,3.37
000418,小天鹅Ａ,20.09,0.681㈡,7.24,0,1.81,3.91,40.79,          9.40㈡,26.95,18.87,7.06
000419,通程控股,7.24,0.152㈡,3.46,0,0.77,1.48,51.6,          4.41㈡,19.03,6.28,3.81
000420,吉林化纤,6,0.008㈡,1.39,0,1.36,-1.24,41.35,          0.56㈡,15.26,5.58,1.16
000421,南京中北,8.34,0.171㈡,3.79,0,0.71,1.77,38.2,          4.51㈡,12.79,7.7,5.25
000422,湖北宜化,6.88,0.028㈡,7.5,0,2,3.34,17.48,          0.37㈡,17.66,6.45,0.29
000423,东阿阿胶,43.43,1.181㈡,10.24,0,1.09,7.44,83.9,         11.53㈡,65.19,41.5,30.31
000425,徐工机械,11.98,0.003㈡,8.99,0,3.77,3.88,43.81,          0.04㈡,19.97,10.74,0.09
000426,兴业矿业,--  ,0.034㈡,4.61,0,2.41,0.99,71.86,          0.73㈡,26.6,--  ,4.04
000428,华天酒店,6.6,0.063㈡,2.21,0,0.16,0.97,17.4,          2.86㈡,54.85,6.01,8.71
000429,粤高速Ａ,6.15,0.184㈡,4.16,0,1.22,1.15,42.22,          4.43㈡,50.21,5.7,32.01
000430,张家界,9.84,0.152㈡,1.69,0,0.3,0.31,71.02,          9.04㈡,45.06,8.8,20.14
000488,晨鸣纸业,6.88,0.143㈡,7.2,0,3.18,2.41,21.86,          1.98㈡,24.16,6.25,2.84
000498,山东路桥,6.24,0.106㈡,2.47,0,-0.5,1.24,28.54,          4.30㈡,16.01,5.71,5.04
000501,鄂武商Ａ,16.6,0.860㈡,7.2,0,1.27,4.27,23.59,         11.44㈡,21.12,15.3,4.85
000502,绿景控股,14.41,-0.029㈡,1.07,0,0.12,-0.09,67.01,         -2.71㈡,41.59,14.41,-43.14
000503,海虹控股,23.19,-0.049㈡,1.43,0,0.03,0.56,94.7,         -3.43㈡,54.09,20.2,-51.38
000504,南华生物,12.26,-0.024㈡,-0.01,0,0.27,-1.39,-2.86,--  ,9.07,10.67,-123.35
000505,珠江控股,8.16,0.050㈡,-0.21,0,0.78,-2.25,-5.55,--  ,25.99,7.2,15.79
000506,中润资源,7.3,0.006㈡,1.51,0,0.03,0.43,36.36,          0.37㈡,34.88,6.6,1.75
000507,珠海港,6.09,0.063㈡,3.15,0,0.97,1.01,44.87,          2.00㈡,19.7,5.58,5.01
000509,华塑控股,4.79,-0.026㈡,0.03,0,0.2,-1.21,3.93,        -99.41㈡,13.01,4.4,-28.16
000510,*ST金路,10.98,-0.119㈡,1.09,0,0.07,-0.17,42.42,        -10.90㈡,2.14,10.72,-9.06
000511,烯碳新材,--  ,0.010㈡,1.24,0,0.07,0.07,40.37,          0.79㈡,0.87,--  ,1.93
000513,丽珠集团,--  ,0.861㈡,10.71,0,1.1,7.63,53.38,          8.04㈡,61.17,--  ,10.94
000514,渝 开 发,6.35,-0.068㈡,3.27,0,1.41,0.65,35.72,         -2.07㈡,7.35,5.7,-17.88
000516,国际医学,14.5,0.210㈡,4.09,0,1.84,1.09,64.63,          4.88㈡,19.85,13,7.73
000517,荣安地产,12.98,0.021㈡,3.38,0,0.21,2.11,54.66,          0.61㈡,37.62,11.73,7.67
000518,四环生物,4.58,0.004㈡,0.67,0,0.02,-0.4,80.81,          0.60㈡,63.11,4.12,3.77
000519,江南红箭,--  ,0.139㈡,3.95,0,1.27,1.91,82.57,          3.53㈡,36.84,--  ,18.09
000520,长航凤凰,--  ,0.107㈡,0.24,0,1.94,-2.94,40.74,         44.69㈡,13.17,--  ,27.4
000521,美菱电器,6.14,0.207㈡,4.62,0,1.91,1.24,33.69,          4.49㈡,20.89,5.72,2.46
000523,广州浪奇,13.59,0.030㈡,2.41,0,1,0.3,33.03,          1.27㈡,4.01,12,0.44
000524,岭南控股,15.35,0.087㈡,2.28,0,0.75,0,72.85,          3.83㈡,60.32,13.38,16.13
000525,红 太 阳,13.91,0.346㈡,7.69,0,3.9,2.46,47.29,          4.50㈡,12.88,12.6,5.3
000526,银润投资,40.93,0.022㈡,1.65,0,0.6,0,78.98,          1.36㈡,63.94,35.98,17.23
000528,柳    工,8.09,0.077㈡,7.98,0,3.13,3.33,45.66,          0.97㈡,25.02,7.55,2.35
000529,广弘控股,--  ,0.073㈡,1.89,0,0.98,-0.15,67.99,          3.88㈡,11.82,--  ,4.09
000530,大冷股份,14.1,0.182㈡,8.03,0,1.76,1.32,70.15,          2.26㈡,20.99,12.48,9.2
000531,穗恒运Ａ,7.95,0.404㈡,4.88,0,1.31,2.04,43.76,          8.28㈡,33.59,7.44,23.79
000532,力合股份,13.3,0.049㈡,2.01,0,0.08,0.7,59.02,          2.42㈡,43.09,12.08,21.41
000533,万 家 乐,6.37,0.127㈡,1.95,0,0.08,0.75,34.89,          6.51㈡,32.55,5.95,4.8
