,代码,名称,收入同比%%,利润同比%%,营业利润率%%,市销率,市净率,市现率,市盈(动),总金额,量比,细分行业,地区,振幅%%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,流通股本(万),流通市值,AB股总市值,强弱度%%,活跃度,每笔均量,每笔换手,财务更新,上市日期,总股本(万),B股(或A),H股,总资产(万),净资产,少数股权,资产负债率%%,流动资产,固定资产,无形资产,流动负债,公积金,存货,应收帐款,营业收入,营业成本,营业利润,投资收益,利润总额,税后利润,净利润,未分利润,经营现金流,总现金流,股东人数,人均持股,人均市值,换手%%,涨速%%,最低,昨收,最高,每股收益,每股净资,调整后净资,每股公积,每股未分配,权益比,净益率%%,销售毛利率%%,今开,净利润率%%,total1,total2,total3,total4
0,000001,平安银行,34.09,15.02,32.78,3.64,1.12,0.93,7.31,3273803264.0,1.4,银行,深圳,8.12,11.63,1539485.0,1276261.0,1.21,549520.0,3379.0,,1180405.5,1397.6,       1694.15亿,3.39,4427.0,636.0,0.0005,20150814.0,19910403.0,1430867.63,0.0,0.0,257050800.0,15088000.0,0.0,94.13,0.0,369000.0,506400.0,0.0,5932600.0,0.0,0.0,4657500.0,0.0,1526700.0,210400.0,1525900.0,1158500.0,1158500.0,5325300.0,18252200.0,20429900.0,418294.0,28220.0,33.41万,2.39,0.33,11.06,11.57,12.0,0.840㈡,10.54,0.0,4.15,3.72,5.87,          7.68㈡,,11.18,24.87,1879041348.0,2873827944.0,10216.456,15625.168
1,000002,万  科Ａ,22.72,0.77,17.35,3.13,1.8,-23.08,16.21,3218100480.0,1.33,全国地产,深圳,6.04,14.02,1462468.0,832228.0,1.76,404907.0,5013.0,,971771.56,1381.86,       1384.05亿,0.99,4366.0,526.0,0.0005,20150817.0,19910129.0,1104805.75,0.0,131495.55,53693768.0,8727269.0,3052716.25,78.06,48999152.0,376758.91,95321.3,37896760.0,832910.63,33304668.0,189773.2,5026680.0,3496081.5,871893.38,91569.05,877700.81,678948.19,484627.91,4131856.75,-680835.56,-1788333.0,479264.0,20276.0,28.83万,2.36,0.14,13.47,14.23,14.33,0.439㈡,7.9,0.0,0.75,3.74,16.25,          5.55㈡,30.45,13.77,9.64,870375979.28,739363185.36,22399.9506,19028.2122
2,000004,国农科技,117.08,125.75,10.98,36.85,26.93,-337.1,905.17,175093968.0,0.79,生物制药,深圳,15.82,27.89,29147.0,33636.0,0.87,48.0,865.0,,8387.54,21.92,         21.94亿,-8.08,2692.0,23.0,0.0028,20150827.0,19910114.0,8397.66,0.0,0.0,34866.01,8148.8,8030.71,53.6,27242.49,3879.12,2073.56,15606.5,66.45,21844.92,189.92,5954.58,3813.68,653.59,-12.77,656.52,441.06,121.21,-1421.96,-650.93,-1414.32,10919.0,7682.0,20.07万,7.49,-1.02,25.95,28.76,30.5,0.014㈡,0.97,0.0,0.01,-0.17,23.37,          1.49㈡,35.95,27.0,2.04,31559666.2717,941382.27,19841.3264,591.84
3,000005,世纪星源,52.1,8.05,-64.57,148.17,8.32,155.1,,0.0,0.0,区域地产,深圳,0.0,5.88,0.0,0.0,,0.0,0.0,,91374.29,53.73,         53.76亿,1.06,0.0,,,20150725.0,19901210.0,91433.35,0.0,0.0,134159.73,64652.65,0.0,51.81,22245.8,2536.1,0.0,64479.3,26976.98,1537.31,202.3,3628.53,2542.65,-2342.8,0.0,-2318.85,-2318.85,-2318.85,-53772.11,3466.26,-16.02,154249.0,5924.0,3.48万,0.0,,,5.88,,-0.025㈡,0.71,0.0,0.3,-0.59,48.19,         -3.59㈡,29.93,,-63.91,,,,
4,000006,深振业Ａ,311.53,425.18,17.93,6.29,3.01,-20.19,24.66,504695104.0,0.82,区域地产,深圳,13.82,9.3,318448.0,224092.0,1.42,3542.0,6513.0,,134148.73,126.5,        127.30亿,-0.2,3848.0,141.0,0.0011,20150829.0,19920427.0,134999.5,0.0,0.0,1177059.88,423437.09,9030.92,63.26,953584.13,368.26,0.0,455966.94,48432.15,613334.5,1653.99,202261.44,134026.16,36261.76,-17.1,36046.1,26838.01,25808.27,135391.48,-63061.38,-22436.9,88304.0,15192.0,14.33万,4.04,-0.63,8.7,9.55,10.02,0.191㈡,3.14,0.0,0.36,1.0,35.97,          6.09㈡,33.74,8.85,12.76,29026296.6408,10416979.938,3119.49,1119.525
5,000007,零七股份,0.6,-89.72,-13.26,115.33,19.36,106.08,,0.0,0.0,酒店餐饮,深圳,0.0,29.17,0.0,0.0,,0.0,0.0,,20588.71,60.06,         67.37亿,1.06,0.0,,,20150829.0,19920413.0,23096.53,0.0,0.0,52609.05,34805.05,79.1,33.69,31310.49,7468.37,27.22,16344.87,42324.12,1665.3,5251.16,5841.53,1096.3,-774.7,409.82,-857.02,-971.74,-744.21,-31658.18,6351.18,-7234.31,13570.0,15172.0,44.26万,0.0,,,29.17,,-0.032㈡,1.51,0.0,1.83,-1.37,66.16,         -2.14㈡,81.23,,-12.74,,,,
6,000008,神州高铁,245.04,710.43,16.21,33.02,5.9,-164.8,117.66,174404592.0,0.97,综合类,深圳,11.82,20.78,32875.0,51034.0,0.64,1710.0,390.0,,21359.4,43.79,        164.64亿,-2.01,2560.0,33.0,0.0015,20150829.0,19920507.0,80314.42,0.0,0.0,327846.84,278995.59,0.0,14.9,136491.92,42377.51,6036.56,46795.64,192500.55,33559.81,49561.87,49859.95,27972.4,8084.75,1252.7,9645.74,7709.85,6996.8,4418.21,-9990.44,4792.93,10120.0,21106.0,43.27万,3.93,-0.24,19.5,21.15,22.0,0.087㈡,3.47,0.0,2.4,0.06,85.1,          2.51㈡,43.9,20.02,14.03,38574459.1944,6563493.7368,5152.3314,876.6758
7,000009,中国宝安,9.97,-48.53,11.1,7.82,4.18,-194.41,65.87,934755712.0,0.85,全国地产,深圳,11.76,9.67,522938.0,444144.0,1.18,49991.0,130.0,,148966.91,145.99,        156.03亿,-0.45,4345.0,223.0,0.0015,20150828.0,19910625.0,159210.73,0.0,0.0,1534307.5,373612.31,194501.09,62.97,1017441.31,168079.13,55227.3,585934.63,51620.25,622396.88,88377.25,199482.19,128855.32,22138.15,22453.46,26335.6,22884.32,11843.71,144927.2,-8025.58,-51654.51,117894.0,12636.0,12.38万,6.49,0.1,9.03,9.95,10.2,0.074㈡,2.35,0.0,0.32,0.91,24.35,          3.17㈡,35.41,9.2,5.94,101064835.025,14115629.0,9616.3613,1343.108
8,000010,深华新,279.01,125.34,2.68,8.73,6.47,-16.14,1090.76,114543728.0,0.61,建筑施工,北京,12.09,6.27,94768.0,87958.0,1.08,814.0,323.0,,35815.75,21.6,         35.46亿,-5.45,2759.0,66.0,0.0018,20150818.0,19951027.0,58806.98,0.0,0.0,188770.95,54813.01,463.45,70.72,67797.88,4401.43,519.62,110640.88,12939.0,22179.89,7223.43,40606.71,34733.4,1089.89,0.0,998.77,94.39,162.55,-18060.1,-21972.14,-6442.99,35116.0,10199.0,6.15万,5.1,-0.65,6.01,6.45,6.79,0.003㈡,0.93,0.0,0.22,-0.31,29.04,          0.30㈡,14.46,6.01,0.4,205903801.422,1134513.4095,23560.416,129.816
9,000011,深物业A,-32.43,-72.19,12.71,15.09,2.59,-23.04,82.04,143588000.0,0.77,区域地产,深圳,14.59,8.84,86911.0,75538.0,1.15,1384.0,1201.0,,17586.25,15.09,         51.14亿,-6.18,2874.0,57.0,0.0032,20150816.0,19920330.0,59597.91,6760.52,0.0,375656.88,197133.92,0.0,47.52,305899.88,7110.31,9621.62,157451.81,11995.15,249322.77,4033.12,33876.12,19905.4,4306.16,676.75,4252.48,3116.28,3116.28,112577.42,-22190.9,-32573.05,35206.0,4995.0,4.29万,9.24,-0.23,8.33,9.25,9.68,0.052㈡,3.31,0.0,0.2,1.89,52.48,          1.58㈡,41.24,8.43,9.2,30818890.4352,3166787.4984,1237.9836,127.2087
