日期,open,max,min,close,turn,volume,dailyreturn
2007-04-30,8.25,8.37,7.41,7.65,1365.19,20737500,
2007-05-08,7.85,date,7.41,7.54,556.32,8629900,-1.44%
2007-05-09,7.46,7.53,7.03,7.31,578.21,9382300,-3.05%
2007-05-10,7.25,7.6,7.19,7.37,299.92,4772000,0.82%
2007-05-11,7.3,7.3,7.04,7.15,237.31,3927300,-2.99%
2007-05-14,7,7.23,6.93,7.12,254.49,4225900,-0.42%
2007-05-15,7.12,7.13,6.84,6.87,210.97,3561500,-3.51%
2007-05-16,6.86,7.28,6.86,7.2,228.62,3789900,4.80%
2007-05-17,7.27,7.45,7.19,7.45,233.23,3756800,3.47%
2007-05-18,7.49,7.49,7.31,7.31,211.64,3374700,-1.88%
2007-05-21,7.05,7.37,7.05,7.28,190.79,3099300,-0.41%
2007-05-22,7.31,7.34,7.23,7.24,244.05,3938500,-0.55%
2007-05-23,7.24,7.73,7.14,7.52,299.22,4766600,3.87%
2007-05-24,7.53,7.56,7.31,7.43,143.33,2273600,-1.20%
2007-05-25,7.4,7.64,7.32,7.57,230.61,3608200,1.88%
2007-05-28,7.57,7.89,7.57,7.79,195.51,2962400,2.91%
2007-05-29,7.78,8.57,7.78,8.57,334.48,4705200,10.01%
2007-05-30,8.09,9.24,8.09,8.72,547.87,7362500,1.75%
2007-05-31,8.72,9.18,8.12,8.82,359.55,4817100,1.15%
2007-06-01,8.78,9.11,8.61,8.76,265.02,3496400,-0.68%
2007-06-04,8.76,8.84,8.12,8.27,267.35,3732000,-5.59%
2007-06-05,8.14,8.49,7.58,8.43,341.04,5017200,1.93%
2007-06-06,8.37,8.86,8.13,8.69,357.55,4907500,3.08%
2007-06-07,8.62,9.18,8.61,9.16,291.41,3822500,5.41%
2007-06-08,9.17,9.19,8.9,9.12,184.61,2397700,-0.44%
2007-06-11,9.08,9.87,9.02,9.78,221.02,2702800,7.24%
2007-06-12,9.78,10.03,9.47,9.96,253.43,3039100,1.84%
2007-06-13,9.9,10.2,9.84,10.13,215.34,2527700,1.71%
2007-06-14,10.13,10.13,10.13,10.13,0,0,0.00%
2007-06-15,9.84,10.79,9.84,10.25,266.78,3040800,1.18%
2007-06-18,10.28,10.49,10.13,10.2,181.65,2082100,-0.49%
2007-06-19,10.2,10.25,9.89,9.95,207.19,2444300,-2.45%
2007-06-20,9.88,10.24,9.85,9.95,178.05,2075400,0.00%
2007-06-21,9.9,10.25,9.9,10.12,165.18,1930000,1.71%
2007-06-22,10.08,10.08,9.3,9.48,173.04,2109000,-6.32%
2007-06-25,9.48,9.65,9.02,9.21,147.12,1856400,-2.85%
2007-06-26,9,9.43,8.96,9.25,73.49,940400,0.43%
2007-06-27,9.43,10.02,9.26,9.78,210.65,2586900,5.73%
2007-06-28,9.8,9.9,9.25,9.25,104.54,1280900,-5.42%
2007-06-29,9.25,9.25,9.25,9.25,0,0,0.00%
2007-07-02,9.25,9.37,8.96,9.18,95.43,1231500,-0.76%
2007-07-03,9.18,9.45,9.14,9.37,108.27,1362800,2.07%
2007-07-04,9.19,9.43,9.19,9.28,77.14,975200,-0.96%
2007-07-05,9.15,9.37,9.08,9.15,131.89,1680700,-1.40%
2007-07-06,9.19,9.24,8.72,9.17,80.63,1056800,0.22%
