date,close,turn,dailyreturn
2000-06-08,5.3990 ,0.0000 ,0.0000 
2000-06-09,5.0564 ,-1.8900 ,-6.3465 
2000-06-12,5.0618 ,0.0300 ,0.1076 
2000-06-13,5.0346 ,-0.1500 ,-0.5372 
2000-06-14,4.9113 ,-0.6800 ,-2.4487 
2000-06-15,4.9095 ,-0.0100 ,-0.0369 
2000-06-16,4.8932 ,-0.0900 ,-0.3323 
2000-06-19,4.7319 ,-0.8900 ,-3.2975 
2000-06-20,4.7844 ,0.2900 ,1.1111 
2000-06-21,4.9440 ,0.8800 ,3.3346 
2000-06-22,4.8243 ,-0.6600 ,-2.4202 
2000-06-23,5.1053 ,1.5500 ,5.8249 
2000-06-26,5.0256 ,-0.4400 ,-1.5625 
2000-06-27,5.0056 ,-0.1100 ,-0.3968 
2000-06-28,4.9893 ,-0.0900 ,-0.3260 
2000-06-29,4.8950 ,-0.5200 ,-1.8895 
2000-06-30,4.8715 ,-0.1300 ,-0.4815 
2000-07-03,4.7536 ,-0.6500 ,-2.4191 
2000-07-04,4.8678 ,0.6300 ,2.4027 
2000-07-05,4.7754 ,-0.5100 ,-1.8994 
2000-07-06,4.7826 ,0.0400 ,0.1519 
2000-07-07,4.8551 ,0.4000 ,1.5163 
2000-07-10,4.9277 ,0.4000 ,1.4937 
2000-07-11,5.1090 ,1.0000 ,3.6792 
2000-07-12,5.0237 ,-0.4700 ,-1.6679 
2000-07-13,5.5259 ,2.7700 ,9.9964 
2000-07-14,5.6075 ,0.4500 ,1.4764 
2000-07-17,5.4607 ,-0.8100 ,-2.6188 
2000-07-18,5.6547 ,1.0700 ,3.5525 
2000-07-19,5.5350 ,-0.6600 ,-2.1161 
2000-07-20,5.4335 ,-0.5600 ,-1.8343 
2000-07-21,5.3483 ,-0.4700 ,-1.5682 
2000-07-24,5.3428 ,-0.0300 ,-0.1017 
2000-07-25,5.3102 ,-0.1800 ,-0.6108 
2000-07-26,5.3610 ,0.2800 ,0.9560 
2000-07-27,5.2757 ,-0.4700 ,-1.5894 
2000-07-28,5.2939 ,0.1000 ,0.3436 
2000-07-31,5.4752 ,1.0000 ,3.4247 
2000-08-01,5.4190 ,-0.3100 ,-1.0265 
2000-08-02,5.3845 ,-0.1900 ,-0.6357 
2000-08-03,5.5024 ,0.6500 ,2.1886 
2000-08-04,5.5694 ,0.3700 ,1.2191 
2000-08-07,5.6166 ,0.2600 ,0.8464 
2000-08-08,5.4861 ,-0.7200 ,-2.3241 
2000-08-09,5.5441 ,0.3200 ,1.0575 
2000-08-10,5.6800 ,0.7500 ,2.4526 
2000-08-11,5.5622 ,-0.6500 ,-2.0747 
2000-08-14,5.5785 ,0.0900 ,0.2934 
2000-08-15,5.6075 ,0.1600 ,0.5200 
2000-08-16,5.5151 ,-0.5100 ,-1.6489 
2000-08-17,5.4552 ,-0.3300 ,-1.0848 
2000-08-18,5.3863 ,-0.3800 ,-1.2629 
2000-08-21,5.4407 ,0.3000 ,1.0098 
2000-08-22,5.3120 ,-0.7100 ,-2.3659 
2000-08-23,5.2576 ,-0.3000 ,-1.0239 
2000-08-24,5.2522 ,-0.0300 ,-0.1034 
2000-08-25,5.4933 ,1.3300 ,4.5910 
2000-08-28,5.4008 ,-0.5100 ,-1.6832 
2000-08-29,5.3936 ,-0.0400 ,-0.1343 
2000-08-30,5.3356 ,-0.3200 ,-1.0756 
2000-08-31,5.1724 ,-0.9000 ,-3.0581 
2000-09-01,5.1452 ,-0.1500 ,-0.5258 
2000-09-04,5.1724 ,0.1500 ,0.5285 
2000-09-05,4.9839 ,-1.0400 ,-3.6453 
2000-09-06,4.9132 ,-0.3900 ,-1.4187 
2000-09-07,4.9694 ,0.3100 ,1.1439 
2000-09-08,5.0219 ,0.2900 ,1.0580 
2000-09-11,5.0020 ,-0.1100 ,-0.3971 
2000-09-12,5.0455 ,0.2400 ,0.8699 
2000-09-13,5.0763 ,0.1700 ,0.6109 
2000-09-14,5.0092 ,-0.3700 ,-1.3214 
2000-09-15,4.9367 ,-0.4000 ,-1.4477 
2000-09-18,4.8298 ,-0.5900 ,-2.1667 
2000-09-19,4.7627 ,-0.3700 ,-1.3889 
2000-09-20,4.8515 ,0.4900 ,1.8652 
2000-09-21,4.8316 ,-0.1100 ,-0.4111 
2000-09-22,4.8225 ,-0.0500 ,-0.1876 
2000-09-25,4.8570 ,0.1900 ,0.7143 
2000-09-26,4.8678 ,0.0600 ,0.2240 
2000-09-27,4.9168 ,0.2700 ,1.0056 
2000-09-28,4.8279 ,-0.4900 ,-1.8068 
2000-09-29,4.9023 ,0.4100 ,1.5396 
2000-10-09,4.8751 ,-0.1500 ,-0.5547 
2000-10-10,4.8841 ,0.0500 ,0.1859 
2000-10-11,4.8479 ,-0.2000 ,-0.7424 
2000-10-12,4.7554 ,-0.5100 ,-1.9073 
2000-10-13,4.7391 ,-0.0900 ,-0.3431 
2000-10-16,4.6340 ,-0.5800 ,-2.2188 
2000-10-17,4.7246 ,0.5000 ,1.9562 
2000-10-18,4.9458 ,1.2200 ,4.6815 
2000-10-19,4.8443 ,-0.5600 ,-2.0528 
2000-10-20,5.2268 ,2.1100 ,7.8967 
2000-10-23,5.2214 ,-0.0300 ,-0.1041 
2000-10-24,5.2939 ,0.4000 ,1.3889 
2000-10-25,5.2087 ,-0.4700 ,-1.6096 
2000-10-26,5.1180 ,-0.5000 ,-1.7403 
2000-10-27,5.1615 ,0.2400 ,0.8502 
2000-10-30,5.1307 ,-0.1700 ,-0.5971 
2000-10-31,4.9839 ,-0.8100 ,-2.8622 
2000-11-01,5.0799 ,0.5300 ,1.9280 
2000-11-02,5.1035 ,0.1300 ,0.4640 
2000-11-03,5.1597 ,0.3100 ,1.1012 
2000-11-06,5.2141 ,0.3000 ,1.0541 
2000-11-07,5.2069 ,-0.0400 ,-0.1391 
2000-11-08,5.2304 ,0.1300 ,0.4526 
2000-11-09,5.2848 ,0.3000 ,1.0399 
2000-11-10,5.2866 ,0.0100 ,0.0343 
2000-11-13,5.2504 ,-0.2000 ,-0.6859 
2000-11-14,5.2395 ,-0.0600 ,-0.2072 
2000-11-15,5.1724 ,-0.3700 ,-1.2803 
2000-11-16,5.3138 ,0.7800 ,2.7340 
2000-11-17,5.3501 ,0.2000 ,0.6824 
2000-11-20,5.2558 ,-0.5200 ,-1.7621 
2000-11-21,5.2069 ,-0.2700 ,-0.9314 
2000-11-22,5.2395 ,0.1800 ,0.6267 
2000-11-23,5.2486 ,0.0500 ,0.1730 
2000-11-24,5.1996 ,-0.2700 ,-0.9326 
2000-11-27,5.1361 ,-0.3500 ,-1.2204 
2000-11-28,5.1742 ,0.2100 ,0.7413 
2000-11-29,5.1434 ,-0.1700 ,-0.5957 
2000-11-30,5.1470 ,0.0200 ,0.0705 
2000-12-01,5.1760 ,0.1600 ,0.5636 
2000-12-04,5.2286 ,0.2900 ,1.0158 
2000-12-05,5.1452 ,-0.4600 ,-1.5950 
2000-12-06,5.0763 ,-0.3800 ,-1.3390 
2000-12-07,5.0237 ,-0.2900 ,-1.0357 
2000-12-08,4.9857 ,-0.2100 ,-0.7578 
2000-12-11,4.8787 ,-0.5900 ,-2.1455 
2000-12-12,4.9222 ,0.2400 ,0.8919 
2000-12-13,4.9059 ,-0.0900 ,-0.3315 
2000-12-14,4.8932 ,-0.0700 ,-0.2587 
2000-12-15,4.9893 ,0.5300 ,1.9637 
2000-12-18,5.0872 ,0.5400 ,1.9622 
2000-12-19,5.0020 ,-0.4700 ,-1.6750 
2000-12-20,5.1688 ,0.9200 ,3.3345 
2000-12-21,5.1507 ,-0.1000 ,-0.3508 
2000-12-22,5.0691 ,-0.4500 ,-1.5839 
2000-12-25,5.0274 ,-0.2300 ,-0.8226 
2000-12-26,5.1507 ,0.6800 ,2.4522 
2000-12-27,5.0890 ,-0.3400 ,-1.1968 
2000-12-28,5.0582 ,-0.1700 ,-0.6056 
2000-12-29,5.1071 ,0.2700 ,0.9677 
2001-01-02,5.1670 ,0.3300 ,1.1715 
2001-01-03,5.2848 ,0.6500 ,2.2807 
2001-01-04,5.2014 ,-0.4600 ,-1.5780 
2001-01-05,5.2322 ,0.1700 ,0.5925 
2001-01-08,5.0473 ,-1.0200 ,-3.5343 
2001-01-09,5.0600 ,0.0700 ,0.2514 
2001-01-10,5.0401 ,-0.1100 ,-0.3941 
2001-01-11,4.9530 ,-0.4800 ,-1.7266 
