date,open,max,min,close,turn,volume,dailyreturn
2000/06/30,10.66,10.86,9.64,10.08,398.51,26802500,
2000/07/03,9.86,9.97,9.41,9.44,82.58,5806100,-6.35%
2000/07/04,9.3,9.59,9.18,9.42,40.41,2944600,-0.21%
2000/07/05,9.44,9.49,9.17,9.22,25.18,1844800,-2.12%
2000/07/06,9.17,9.4,9.04,9.2,25.83,1908500,-0.22%
2000/07/07,9.23,9.57,9.17,9.37,29.43,2123500,1.85%
2000/07/10,9.57,9.91,9.56,9.74,43.17,3008100,3.95%
2000/07/11,9.78,9.85,9.59,9.64,22.56,1588600,-1.03%
2000/07/12,9.65,9.74,9.54,9.64,28.18,1990000,0.00%
2000/07/13,9.68,9.9,9.64,9.78,38.18,2642000,1.45%
2000/07/14,9.83,10.07,9.76,9.9,33.28,2278000,1.23%
2000/07/17,9.91,9.97,9.71,9.73,20.93,1448700,-1.72%
2000/07/18,9.73,9.78,9.66,9.74,13.12,918100,0.10%
2000/07/19,9.81,9.85,9.54,9.6,23.58,1662100,-1.44%
2000/07/20,9.51,9.57,9.34,9.44,13.07,941600,-1.67%
2000/07/21,9.42,9.83,9.34,9.64,20.72,1468300,2.12%
2000/07/24,9.63,9.63,9.38,9.44,8.57,615400,-2.07%
2000/07/25,9.43,9.64,9.37,9.54,7.5,536700,1.06%
2000/07/26,9.54,9.57,9.44,9.5,8.49,606200,-0.42%
2000/07/27,9.52,9.57,9.41,9.45,10.34,740600,-0.53%
2000/07/28,9.45,9.51,9.38,9.41,9.37,675800,-0.42%
2000/07/31,9.38,9.41,9.34,9.36,12.48,906200,-0.53%
2000/08/01,9.37,9.5,9.36,9.38,9.36,676100,0.21%
2000/08/02,9.4,9.6,9.38,9.51,9.25,660700,1.39%
2000/08/03,9.51,9.6,9.42,9.44,8.73,625800,-0.74%
2000/08/04,9.47,9.57,9.38,9.51,10.23,731700,0.74%
2000/08/07,9.51,9.83,9.45,9.77,38.64,2729300,2.73%
2000/08/08,9.78,9.85,9.64,9.7,18.35,1276800,-0.72%
2000/08/09,9.7,9.97,9.68,9.9,34.11,2355400,2.06%
2000/08/10,9.89,9.89,9.76,9.8,18.65,1289900,-1.01%
2000/08/11,9.81,9.85,9.69,9.7,16.12,1120300,-1.02%
2000/08/14,9.76,9.91,9.67,9.85,16.4,1135700,1.55%
2000/08/15,9.85,9.99,9.83,9.84,24.47,1676200,-0.10%
2000/08/16,9.9,9.98,9.85,9.91,11.49,788500,0.71%
2000/08/17,9.91,10.04,9.85,9.97,15.85,1083800,0.61%
2000/08/18,9.88,9.97,9.88,9.91,12.27,839800,-0.60%
2000/08/21,9.92,10.25,9.92,10.16,41.81,2797400,2.52%
2000/08/22,10.18,10.32,10.01,10.01,37.22,2478600,-1.48%
2000/08/23,9.98,10.07,9.65,9.98,42.91,2940700,-0.30%
2000/08/24,10.05,10.32,10.04,10.25,41.1,2733800,2.71%
2000/08/25,10.26,10.36,10.19,10.34,32.41,2137900,0.88%
2000/08/28,10.39,10.59,10.39,10.41,30.79,1993800,0.68%
2000/08/29,10.42,10.57,10.19,10.54,35.03,2287000,1.25%
2000/08/30,10.52,10.56,10.38,10.38,25.34,1644400,-1.52%
2000/08/31,10.31,10.36,10.12,10.16,32.97,2183900,-2.12%
