date,open,max,min,close,turn,volume,
2000-10-18,6.77,7.45,6.65,7.42,539.42,47195300,
2000-10-19,7.31,7.73,7.27,7.62,351.37,28740800,2.70%
2000-10-20,7.5,7.61,7.39,7.6,146.39,12025200,-0.26%
2000-10-23,7.64,7.78,7.46,7.69,115.49,9306900,1.18%
2000-10-24,7.7,7.74,7.53,7.58,60.87,4939200,-1.43%
2000-10-25,7.58,7.91,7.54,7.66,117.01,9288600,1.06%
2000-10-26,7.67,7.74,7.59,7.69,49.04,3945400,0.39%
2000-10-27,7.67,7.74,7.51,7.56,49.59,4026700,-1.69%
2000-10-30,7.53,7.59,7.44,7.51,34.29,2811100,-0.66%
2000-10-31,7.51,7.66,7.45,7.5,24.4,1992800,-0.13%
2000-11-01,7.67,7.99,7.57,7.83,94.59,7416000,4.40%
2000-11-02,7.89,7.94,7.75,7.77,60.39,4738100,-0.77%
2000-11-03,7.79,7.97,7.7,7.95,47.77,3752300,2.32%
2000-11-06,7.99,8.1,7.89,7.96,58.79,4519300,0.13%
2000-11-07,8,8.31,7.99,8.15,71.84,5410800,2.39%
2000-11-08,8.19,8.37,8.1,8.21,63.78,4767200,0.74%
2000-11-09,8.22,8.28,8.09,8.16,54.72,4126200,-0.61%
2000-11-10,8.19,8.19,8,8.1,67.04,5104000,-0.74%
2000-11-13,8.13,8.26,8.1,8.19,42.42,3205000,1.11%
2000-11-14,8.19,8.5,8.1,8.4,57.82,4285200,2.56%
2000-11-15,8.42,8.47,8.24,8.36,43.44,3205200,-0.48%
2000-11-16,8.37,8.4,8.21,8.32,31.34,2328900,-0.48%
2000-11-17,8.32,8.34,8.19,8.21,26.17,1954500,-1.32%
2000-11-20,8.19,8.28,8.1,8.28,24.64,1854700,0.85%
2000-11-21,8.28,8.34,8.16,8.16,23.39,1749200,-1.45%
2000-11-22,8.16,8.2,8.1,8.18,23.55,1778400,0.25%
2000-11-23,8.22,8.25,8.16,8.25,22.44,1685000,0.86%
2000-11-24,8.22,8.42,8,8.01,43.41,3251100,-2.91%
2000-11-27,7.97,8.09,7.91,7.97,29.15,2248600,-0.50%
2000-11-28,7.97,8.16,7.96,8.16,16.97,1297600,2.38%
2000-11-29,8.18,8.19,7.93,8.04,26.95,2067200,-1.47%
2000-11-30,8,8.1,7.95,8.05,10.67,817600,0.12%
2000-12-01,8.05,8.19,8.02,8.18,14.78,1121400,1.61%
2000-12-04,8.19,8.22,8.13,8.21,16.33,1229800,0.37%
2000-12-05,8.21,8.25,8.1,8.13,11.5,867500,-0.97%
2000-12-06,8.13,8.15,7.96,8,19.1,1461300,-1.60%
2000-12-07,7.97,8.02,7.89,7.96,15.93,1233700,-0.50%
2000-12-08,7.96,8.11,7.96,8.02,17.76,1359200,0.75%
2000-12-11,8.02,8.31,7.81,8.31,23.64,1826100,3.62%
2000-12-12,8.53,8.53,8.16,8.26,39.63,2930600,-0.60%
2000-12-13,8.25,8.31,8.14,8.25,13.7,1025100,-0.12%
2000-12-14,8.25,8.28,8.08,8.12,8.37,627600,-1.58%
2000-12-15,8.12,8.18,7.99,8,9.16,702700,-1.48%
2000-12-18,7.98,8.1,7.93,8,10.82,832800,0.00%
2000-12-19,8.04,8.1,7.96,8,11.16,857000,0.00%
2000-12-20,8.04,8.22,8,8.21,9.26,704400,2.63%
2000-12-21,8.24,8.28,8.15,8.19,15.41,1155300,-0.24%
2000-12-22,8.17,8.6,8.14,8.49,83.76,6123500,3.66%
2000-12-25,8.55,8.74,8.47,8.55,79.76,5687400,0.71%
2000-12-26,8.62,9.19,8.56,8.88,206.75,14280700,3.86%
2000-12-27,8.92,8.98,8.71,8.74,88.71,6174100,-1.58%
2000-12-28,8.74,8.92,8.67,8.77,51.54,3604200,0.34%
2000-12-29,8.77,8.93,8.71,8.87,54.8,3828100,1.14%
2001-01-02,8.88,8.96,8.74,8.9,32.55,2260500,0.34%
2001-01-03,8.92,9.11,8.89,9.02,46.33,3172500,1.35%
2001-01-04,9.02,9.05,8.88,8.9,25.41,1752900,-1.33%
2001-01-05,8.9,8.9,8.73,8.85,37.58,2629100,-0.56%
2001-01-08,8.85,8.87,8.56,8.65,34.01,2414500,-2.26%
2001-01-09,8.63,8.74,8.53,8.74,18.42,1313500,1.04%
2001-01-10,8.63,8.79,8.63,8.74,16.77,1182400,0.00%
2001-01-11,8.76,8.76,8.67,8.68,22.82,1617600,-0.69%
2001-01-12,8.68,8.68,8.59,8.64,14.29,1018800,-0.46%
2001-01-15,8.62,8.62,8.31,8.34,22.31,1621600,-3.47%
2001-01-16,8.26,8.42,8.23,8.39,13.41,992400,0.60%
2001-01-17,8.39,8.47,8.36,8.37,10.59,774700,-0.24%
2001-01-18,8.31,8.42,8.25,8.34,9.73,717100,-0.36%
2001-01-19,8.34,8.53,8.32,8.5,12.5,908700,1.92%
2001-02-05,8.53,8.56,8.13,8.14,13.74,1024500,-4.24%
2001-02-06,8.05,8.13,7.94,8.13,10.15,778200,-0.12%
2001-02-07,8.13,8.19,7.94,8.05,7.22,552100,-0.98%
2001-02-08,8.01,8.1,7.88,7.89,7.55,582500,-1.99%
2001-02-09,7.99,8.08,7.39,8.04,10.74,830200,1.90%
2001-02-12,8.1,8.1,7.94,8.07,5.82,447700,0.37%
2001-02-13,8.07,8.15,8.04,8.05,5.87,446500,-0.25%
2001-02-14,8.04,8.1,8,8.05,3.48,265900,0.00%
2001-02-15,8.05,8.08,7.97,7.99,4.14,317300,-0.75%
2001-02-16,7.91,8,7.76,7.94,7.02,547900,-0.63%
2001-02-19,8,8.07,7.94,8.05,3.51,270200,1.39%
2001-02-20,8.05,8.13,7.94,7.99,5.24,401600,-0.75%
2001-02-21,7.94,7.97,7.76,7.8,7.94,623800,-2.38%
2001-02-22,7.79,7.91,7.71,7.8,4.45,350200,0.00%
2001-02-23,7.84,7.91,7.73,7.86,4.14,325800,0.77%
2001-02-26,7.88,8.12,7.88,8.1,6.42,493400,3.05%
2001-02-27,8.13,8.14,8.05,8.11,5.09,387300,0.12%
2001-02-28,8.15,8.24,8.1,8.16,10.14,764700,0.62%
2001-03-01,8.18,8.26,8.13,8.25,6.32,475500,1.10%
2001-03-02,8.25,8.28,8.23,8.24,9.19,685700,-0.12%
2001-03-05,8.25,8.26,8.1,8.1,6.67,503600,-1.70%
2001-03-06,8.13,8.19,8.1,8.19,5.64,426700,1.11%
2001-03-07,8.23,8.34,8.2,8.25,9.66,719000,0.73%
2001-03-08,8.25,8.44,8.25,8.4,15.66,1152100,1.82%
2001-03-09,8.41,8.47,8.32,8.33,12.97,950900,-0.83%
2001-03-12,8.25,8.31,8.12,8.15,13.4,1009300,-2.16%
2001-03-13,8.15,8.22,8.12,8.16,8.92,672900,0.12%
2001-03-14,8.16,8.25,8.13,8.21,6.43,482300,0.61%
2001-03-15,8.21,8.21,8.12,8.15,10.74,811100,-0.73%
2001-03-16,8.16,8.28,8.11,8.28,7.7,580400,1.60%
2001-03-19,8.25,8.43,8.19,8.42,15.34,1133900,1.69%
2001-03-20,8.45,8.46,8.35,8.4,20.54,1505200,-0.24%
2001-03-21,8.44,8.58,8.41,8.5,40.39,2923700,1.19%
2001-03-22,8.53,8.59,8.42,8.48,20.76,1507400,-0.24%
2001-03-23,8.48,8.48,8.29,8.29,17.58,1291200,-2.24%
2001-03-26,8.29,8.46,8.28,8.44,12.2,897300,1.81%
2001-03-27,8.44,8.5,8.41,8.47,10.65,776600,0.36%
2001-03-28,8.47,8.48,8.39,8.42,8.69,636000,-0.59%
2001-03-29,8.43,8.54,8.43,8.47,12.09,878100,0.59%
2001-03-30,8.47,8.49,8.37,8.46,9.2,672700,-0.12%
2001-04-02,8.46,8.58,8.46,8.53,15.48,1118200,0.83%
