,date,price,change,vol,amount,bid
0,15:00:05,4.39,,3,1685,ÂòÅÌ
1,15:00:00,4.39,,1651,724876,ÂòÅÌ
2,14:59:55,4.39,0.01,5987,2628661,ÂòÅÌ
3,14:59:45,4.38,-0.01,1242,544381,ÂôÅÌ
4,14:59:40,4.39,,3155,1385132,ÂòÅÌ
5,14:59:30,4.39,,3178,1395528,ÂòÅÌ
6,14:59:25,4.39,,1761,773482,ÂòÅÌ
7,14:59:20,4.39,,2142,940373,ÂòÅÌ
8,14:59:15,4.39,,3724,1634906,ÂòÅÌ
9,14:59:10,4.39,,1736,762525,ÂòÅÌ
10,14:59:05,4.39,,2188,960602,ÂòÅÌ
11,14:59:00,4.39,,1624,713357,ÂòÅÌ
12,14:58:55,4.39,0.01,1607,705771,ÂòÅÌ
13,14:58:50,4.38,,1796,786858,ÂôÅÌ
14,14:58:45,4.38,,1250,547745,ÂôÅÌ
15,14:58:40,4.38,-0.01,1772,776206,ÂôÅÌ
16,14:58:35,4.39,,1664,730496,ÂòÅÌ
17,14:58:30,4.39,,1152,505727,ÂòÅÌ
18,14:58:25,4.39,,1601,703242,ÂòÅÌ
19,14:58:20,4.39,,3717,1632096,ÂòÅÌ
20,14:58:10,4.39,,1070,469765,ÂòÅÌ
21,14:58:10,4.39,,3067,1346641,ÂòÅÌ
22,14:58:05,4.39,,1018,447288,ÂòÅÌ
23,14:58:00,4.39,,1141,500951,ÂòÅÌ
24,14:57:55,4.39,0.01,2590,1137326,ÂòÅÌ
25,14:57:50,4.38,-0.01,657,287888,ÂôÅÌ
26,14:57:44,4.39,0.01,1778,780787,ÂòÅÌ
27,14:57:34,4.38,,1973,864506,ÂôÅÌ
28,14:57:34,4.38,,1040,455800,ÂòÅÌ
29,14:57:29,4.38,0.01,1269,555874,ÂòÅÌ
30,14:57:24,4.37,-0.01,4330,1892594,ÂôÅÌ
31,14:57:19,4.38,,4094,1793207,ÂòÅÌ
32,14:57:14,4.38,,1034,452997,ÂòÅÌ
33,14:57:09,4.38,0.01,2683,1175381,ÂòÅÌ
34,14:57:04,4.37,-0.01,1716,750101,ÂôÅÌ
35,14:56:59,4.38,0.01,3107,1361233,ÂòÅÌ
36,14:56:54,4.37,-0.01,1657,724371,ÂôÅÌ
37,14:56:44,4.38,,3800,1664540,ÂòÅÌ
38,14:56:44,4.38,0.01,1882,824701,ÂòÅÌ
39,14:56:39,4.37,,1607,702276,ÂôÅÌ
40,14:56:34,4.37,-0.01,1105,483287,ÂôÅÌ
41,14:56:29,4.38,,2472,1083156,ÂòÅÌ
42,14:56:24,4.38,,1601,701360,ÂòÅÌ
43,14:56:19,4.38,0.01,1009,442344,ÂòÅÌ
44,14:56:14,4.37,-0.01,492,215073,ÂôÅÌ
45,14:56:11,4.38,,1317,576898,ÂòÅÌ
46,14:56:06,4.38,,1553,680616,ÂòÅÌ
47,14:56:01,4.38,0.01,1987,870673,ÂòÅÌ
48,14:55:51,4.37,,3457,1510831,ÂòÅÌ
49,14:55:41,4.37,,3037,1327361,ÂòÅÌ
50,14:55:36,4.37,,5156,2253381,ÂòÅÌ
