time,price,change,vol,amount,ÐÔÖÊ
15:00:05,15.54,-0.04,0,0,ÂôÅÌ
14:59:55,15.58,0.03,294,458176,ÂòÅÌ
14:59:55,15.55,0.03,107,166447,ÖÐÐÔÅÌ
14:59:50,15.52,-0.01,1276,1981841,ÂôÅÌ
14:59:45,15.53,-0.03,1128,1751784,ÂôÅÌ
14:59:40,15.56,0.01,1256,1955829,ÂòÅÌ
14:59:35,15.55,0.04,3330,5178274,ÂòÅÌ
14:59:30,15.51,-0.01,1770,2746634,ÂôÅÌ
14:59:25,15.52,--,4616,7165521,ÂôÅÌ
14:59:20,15.52,--,175,271662,ÂôÅÌ
14:59:15,15.52,-0.04,3011,4673134,ÂôÅÌ
14:59:10,15.56,0.04,4269,6643995,ÂòÅÌ
14:59:05,15.52,--,602,934428,ÂòÅÌ
14:59:00,15.52,-0.02,2172,3370944,ÂôÅÌ
14:58:55,15.54,0.02,2444,3797976,ÂòÅÌ
14:58:50,15.52,--,899,1395310,ÂôÅÌ
14:58:45,15.52,-0.01,3365,5223907,ÂôÅÌ
14:58:40,15.53,0.01,1048,1627544,ÂòÅÌ
14:58:35,15.52,--,1142,1772508,ÂôÅÌ
14:58:30,15.52,-0.01,196,305681,ÂôÅÌ
14:58:25,15.53,--,225,350853,ÂòÅÌ
14:58:20,15.53,0.01,510,792154,ÂòÅÌ
14:58:15,15.52,-0.02,1991,3090094,ÂôÅÌ
14:58:10,15.54,--,108,167832,ÂòÅÌ
14:58:05,15.54,0.01,1316,2045064,ÂòÅÌ
14:58:00,15.53,0.01,760,1180280,ÂòÅÌ
14:57:55,15.52,--,759,1178030,ÂòÅÌ
14:57:50,15.52,--,2670,4145205,ÂôÅÌ
14:57:45,15.52,--,1564,2428817,ÂôÅÌ
14:57:40,15.52,--,463,718638,ÂòÅÌ
14:57:35,15.52,-0.01,2664,4134528,ÂôÅÌ
14:57:30,15.53,0.01,516,801348,ÂòÅÌ
14:57:25,15.52,--,339,526190,ÂôÅÌ
14:57:20,15.52,--,72,113233,ÂòÅÌ
14:57:15,15.52,-0.01,976,1514752,ÂôÅÌ
14:57:05,15.53,0.01,402,624430,ÂòÅÌ
14:57:00,15.52,0.01,213,332003,ÖÐÐÔÅÌ
14:56:50,15.51,-0.02,3013,4673349,ÂôÅÌ
14:56:50,15.53,0.02,1605,2493248,ÂòÅÌ
14:56:45,15.51,--,1197,1857973,ÂòÅÌ
14:56:40,15.51,--,612,949212,ÂôÅÌ
14:56:35,15.51,--,811,1257923,ÂôÅÌ
14:56:30,15.51,--,279,432791,ÂôÅÌ
14:56:25,15.51,-0.02,942,1461910,ÂôÅÌ
14:56:20,15.53,0.01,1278,1986100,ÂòÅÌ
14:56:15,15.52,-0.01,951,1476014,ÂôÅÌ
14:56:10,15.53,0.01,398,618963,ÂòÅÌ
14:56:05,15.52,0.02,3286,5101237,ÂòÅÌ
14:56:00,15.5,-0.04,904,1401200,ÂôÅÌ
14:55:55,15.54,--,1490,2315584,ÂòÅÌ
14:55:50,15.54,0.01,656,1019424,ÂòÅÌ
14:55:45,15.53,-0.01,179,278049,ÂôÅÌ
14:55:40,15.54,0.04,212,330939,ÂòÅÌ
14:55:35,15.5,-0.05,5371,8325112,ÂôÅÌ
14:55:30,15.55,--,292,455552,ÂòÅÌ
14:55:25,15.55,0.05,1321,2055585,ÂòÅÌ
14:55:20,15.5,-0.05,3733,5786336,ÂôÅÌ
14:55:15,15.55,0.01,337,525465,ÂòÅÌ
14:55:10,15.54,-0.02,878,1364536,ÂôÅÌ
14:55:05,15.56,-0.01,472,734432,ÂôÅÌ
14:55:00,15.57,0.01,864,1345248,ÂòÅÌ
14:54:50,15.56,--,325,507131,ÂòÅÌ
14:54:50,15.56,--,2048,3188181,ÂôÅÌ
14:54:40,15.56,--,576,896256,ÂôÅÌ
14:54:40,15.56,-0.01,527,820074,ÂôÅÌ
14:54:35,15.57,0.01,244,381402,ÂòÅÌ
14:54:25,15.56,-0.02,313,487214,ÂôÅÌ
14:54:25,15.58,0.01,874,1363063,ÂòÅÌ
14:54:15,15.57,-0.01,5017,7811655,ÂôÅÌ
14:54:05,15.58,--,316,492328,ÂòÅÌ
14:54:00,15.58,0.01,396,616968,ÂòÅÌ
14:53:55,15.57,-0.01,234,365708,ÂôÅÌ
14:53:50,15.58,--,212,330296,ÂòÅÌ
14:53:35,15.58,--,1084,1688872,ÂôÅÌ
14:53:35,15.58,-0.01,116,180728,ÂôÅÌ
14:53:30,15.59,0.01,85,132702,ÂòÅÌ
14:53:24,15.58,0.01,402,627687,ÂôÅÌ
14:53:19,15.57,-0.03,307,478061,ÂôÅÌ
14:53:14,15.6,0.02,2312,3606720,ÂòÅÌ
14:53:09,15.58,--,216,336528,ÂòÅÌ
14:53:04,15.58,--,274,427016,ÂòÅÌ
14:52:59,15.58,0.01,457,713439,ÂòÅÌ
14:52:54,15.57,--,186,289726,ÂôÅÌ
14:52:49,15.57,--,821,1279729,ÂôÅÌ
14:52:44,15.57,--,423,658673,ÂòÅÌ
14:52:39,15.57,--,160,249120,ÂòÅÌ
14:52:34,15.57,0.01,145,227197,ÂòÅÌ
14:52:29,15.56,-0.01,50,77924,ÂôÅÌ
14:52:24,15.57,--,602,937936,ÂòÅÌ
14:52:19,15.57,0.01,389,607105,ÂòÅÌ
14:52:14,15.56,--,2846,4428500,ÂòÅÌ
14:52:09,15.56,--,296,460576,ÂòÅÌ
14:52:04,15.56,0.01,352,549205,ÂòÅÌ
14:51:59,15.55,--,323,502327,ÂôÅÌ
14:51:54,15.55,--,779,1211407,ÂòÅÌ
14:51:49,15.55,0.01,628,976540,ÂòÅÌ
14:51:44,15.54,-0.01,825,1283479,ÂôÅÌ
14:51:39,15.55,--,343,533427,ÂòÅÌ
14:51:34,15.55,--,2129,3312025,ÂòÅÌ
14:51:29,15.55,0.01,106,164954,ÂòÅÌ
14:51:24,15.54,0.01,765,1190239,ÂòÅÌ
14:51:19,15.53,-0.01,791,1228485,ÂôÅÌ
14:51:14,15.54,--,504,784707,ÂòÅÌ
14:51:09,15.54,0.01,246,382408,ÂòÅÌ
14:51:04,15.53,-0.01,200,312090,ÂôÅÌ
14:50:59,15.54,0.03,1089,1692989,ÂòÅÌ
14:50:54,15.51,--,475,736787,ÂòÅÌ
14:50:49,15.51,-0.01,1096,1700144,ÂôÅÌ
14:50:44,15.52,--,575,893703,ÂòÅÌ
14:50:39,15.52,0.01,4876,7569041,ÂòÅÌ
14:50:34,15.51,--,407,631319,ÂôÅÌ
