Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:04	8.63	0.01	10	8630	жпптел
14:59:59	8.62	--	517	445653	бТел
14:59:49	8.62	-0.03	212	182743	жпптел
14:59:49	8.65	0.04	176	152240	бРел
14:59:44	8.61	-0.03	763	656943	бТел
14:59:34	8.64	0.04	206	177984	бРел
14:59:24	8.6	-0.04	10	8600	жпптел
14:59:19	8.64	0.04	1135	980640	бРел
14:59:09	8.6	--	261	224460	бРел
14:58:54	8.6	-0.01	1	860	бРел
14:58:49	8.61	0.01	8	7447	бРел
14:58:39	8.6	--	15	12900	бТел
14:58:34	8.6	--	27	23220	бТел
14:58:29	8.6	--	16	13760	бТел
14:58:24	8.6	0.02	593	510281	бРел
14:58:19	8.58	0.01	26	22308	бРел
14:58:14	8.57	-0.01	23	19711	бТел
14:58:09	8.58	0.01	15	12870	жпптел
14:58:04	8.57	--	20	17140	бТел
14:57:59	8.57	--	54	46278	бТел
14:57:54	8.57	--	60	51420	бТел
14:57:49	8.57	0.01	41	35137	бТел
14:57:44	8.56	--	111	95016	бТел
14:57:34	8.56	--	39	33384	бТел
14:57:24	8.56	--	407	348392	бРел
14:57:14	8.56	--	21	17976	бРел
14:57:09	8.56	--	30	25680	бРел
14:57:04	8.56	-0.02	193	165208	бТел
14:56:59	8.58	-0.02	48	41184	бТел
14:56:54	8.6	0.03	625	537500	бРел
14:56:44	8.57	-0.02	20	17140	бТел
14:56:39	8.59	0.01	100	85900	бРел
14:56:29	8.58	--	4	3432	бРел
14:56:24	8.58	--	26	22308	бРел
14:56:14	8.58	0.06	2	1716	жпптел
14:56:09	8.52	-0.07	345	293940	бТел
14:56:04	8.59	-0.01	2	1718	жпптел
14:55:49	8.6	--	58	49880	бРел
14:55:44	8.6	--	18	15480	бРел
14:55:39	8.6	--	466	401405	бТел
14:55:24	8.6	--	34	29240	бТел
14:55:19	8.6	--	211	181460	бТел
14:55:09	8.6	--	29	24940	бТел
14:55:09	8.6	0.04	601	517075	бРел
14:54:54	8.56	0.01	1029	880824	бРел
14:54:49	8.55	--	16	13680	бРел
14:54:39	8.55	--	43	36765	бТел
14:54:29	8.55	-0.01	8	6840	бТел
14:54:19	8.56	--	72	62214	бТел
14:54:08	8.56	--	51	43656	бТел
14:54:03	8.56	--	74	63344	бТел
14:53:56	8.56	-0.01	289	247657	бТел
14:53:46	8.57	--	75	64275	бРел
14:53:31	8.57	--	5	4285	бРел
14:53:21	8.57	-0.01	150	128550	бТел
14:53:16	8.58	0.01	49	42042	бРел
14:53:11	8.57	-0.01	1	857	бТел
