细分行业,市盈(动),均价,市盈(动)按总资产加权,均价按总资产加权,市盈(动)按流通市值加权,均价按流通市值加权
专用机械,162.937605634,24.0492207792,1.92357547519,0.224914571541,3.92609595637,0.305400044654
中成药,156.130634921,22.6736923077,0.883876255504,0.345833693268,1.3856644145,0.447603246351
乳制品,62.43375,21.2455555556,4.57565020284,1.75116931594,3.47978409372,1.77535151194
互联网,134.174705882,50.0323809524,4.1687182212,1.7531544538,5.1466407577,1.68938395333
仓储物流,118.493333333,23.3886666667,4.9642319617,2.5012681836,7.38207491552,2.77712353116
供气供热,44.2007142857,10.695625,1.89352446183,0.67285779022,1.91839187748,0.639434869162
保险,9.4025,28.8325,2.29954724389,7.13647974778,2.52815128484,6.85888460599
元器件,206.425168539,19.0257407407,0.69053130187,0.131618079358,1.12130448423,0.162112197905
全国地产,57.8503030303,9.63282051282,0.808469146906,0.311033580187,1.01298651828,0.289641044688
公共交通,46.4242857143,11.8485714286,6.03164707992,1.61811876254,7.06632313286,1.76200705954
公路,88.618,15.694,9.68829654553,2.40175748448,28.9737015762,3.83324091957
其他商业,256.0775,8.844,20.7321276738,1.77032541171,21.3565049481,1.80014870135
其他建材,156.836666667,14.4973913043,5.3901496254,0.643732789263,7.29689963931,0.758188516474
农业综合,280.107142857,13.0413043478,20.9339277073,0.582939562969,14.6823870048,0.657731889934
农用机械,68.52,9.91166666667,7.61317359743,1.59224388951,13.5514858413,1.7060224127
农药化肥,147.36,13.1822727273,2.29971354011,0.257986864191,3.28274659329,0.359149779824
出版业,95.1514285714,19.302,2.94016864598,1.10812873475,3.40187211409,1.19482953324
化学制药,146.183,23.2857407407,2.17422983043,0.346389907,1.8146089333,0.461634036227
化工原料,105.709795918,15.8976422764,0.92262702876,0.107382484546,0.784769914192,0.127135363925
化工机械,214.945,16.1358333333,26.953519589,1.51977052622,15.6096955242,2.20073202018
化纤,174.840869565,9.735,2.21057839196,0.467866073516,5.23273003786,0.432080050848
区域地产,95.3085416667,10.3537333333,0.72965664392,0.148766395353,1.21565961869,0.161803956283
医疗保健,437.018666667,27.45875,23.6906625884,0.842106551332,32.1653783338,1.14298058036
医药商业,60.2653333333,32.6306666667,2.51853658125,1.85421715541,3.00741840463,2.60449994835
半导体,498.183333333,14.3570833333,3.43277765911,0.265295260209,5.25974805542,0.293642620762
商品城,43.04,9.24,21.9283193802,2.94988641511,22.7943001144,3.04379001274
商贸代理,38.9788888889,16.4108333333,1.22747943915,0.764771882099,1.34811820886,0.860152964076
啤酒,57.9575,13.3475,3.86131327589,2.54525661498,4.60269708379,2.25505456275
园区开发,86.8627272727,14.4378571429,6.16928338471,1.51921881975,5.22068368234,1.73602587631
