city,state,population,5_years_or_less,5-9_years,10-14_years,15-19_years,20-24_years,25-34_years,35-44_years,45-54_years,55-59_years,60-64_years,65-74_years,75-84_years,85_years_or_more,households,"$9,999_or_less","$10,000-$14,999","$15,000-$24,999","$25,000-$34,999","$35,000-$49,999","$50,000-$64,999","$65,000-$74,999","$75,000-$99,999","$100,000_or_more",median_household_income,mean_household_income
Abbeville,LA,20500,1740,1674,1221,1218,1611,2417,2113,2660,1432,1120,1769,1111,414,9515,4.7,8.0,21.7,18.6,15.9,12.1,5.6,7.2,6.2,22378,22378
Abbeville,SC,5046,399,199,334,318,426,485,490,750,297,399,411,437,101,1964,1.9,2.2,15.7,36.1,18.6,12.2,3.9,6.5,2.8,18385,18385
Abbotsford,WI,3835,223,255,355,235,195,357,505,532,208,193,324,239,214,1803,1.2,2.3,23.4,25.0,25.2,10.5,5.3,3.4,3.6,27139,27139
Aberdeen,MS,4483,362,301,250,180,326,658,501,714,258,286,332,211,104,1716,2.5,10.5,19.4,32.2,19.6,11.5,0.0,2.2,2.1,19050,19050
Aberdeen,SD,27327,2004,1721,1667,1925,2304,4064,3027,3117,1686,1489,1838,1631,854,16064,2.2,3.2,14.3,23.6,27.4,13.8,5.8,5.3,4.5,29312,29312
Aberdeen,WA,29367,2085,1932,2080,1704,1978,3725,3597,3775,1970,1976,2579,1300,666,12837,2.1,3.8,17.4,15.2,29.3,15.1,5.2,8.2,3.6,25232,25232
Aberdeen--Bel Air South--Bel Air North,MD,217880,12744,14310,15640,14675,13536,27127,28433,34259,15427,12971,17178,7963,3617,120657,1.1,2.0,7.5,11.5,18.1,17.3,8.3,16.3,17.9,42511,42511
Abernathy,TX,3277,283,173,251,220,264,408,409,370,208,197,231,199,64,1694,2.7,4.7,20.4,21.7,23.5,11.0,6.1,2.5,7.4,26024,26024
Abilene,KS,6787,510,494,412,360,358,734,822,933,375,423,649,481,236,3549,2.2,4.0,18.3,21.6,19.8,15.6,4.0,9.9,4.9,27360,27360
Abilene,TX,112642,9042,8150,6805,8895,12951,16997,11204,12445,6224,5374,7682,4910,1963,59549,3.1,6.4,21.4,21.6,19.8,11.9,4.9,5.5,5.4,22939,22939
Abingdon,IL,3259,166,255,245,207,199,380,463,409,233,173,285,187,57,1258,0.0,1.2,24.1,28.4,25.0,16.0,0.0,4.2,1.1,28188,28188
Ada,OH,6043,274,351,164,1229,1710,411,548,461,269,143,289,135,59,3949,4.3,0.0,24.5,20.4,17.8,14.2,10.6,2.3,5.9,5907,5907
