date,000016.SH,000300.SH,000905.SH,038.CS,H11008.CSI,NH0200.NHF,Au9999
2005/1/4,827.071,982.794,986.927,100.626,96.39,1064.6229,114.87
2005/1/5,831.428,992.564,1003.633,101.152,96.08,1051.4093,114.64
2005/1/6,822.499,983.174,994.595,100.019,96.19,1062.2748,114.39
2005/1/7,823.616,983.958,997.606,100.127,96,1059.6023,113.19
2005/1/10,832.986,993.879,1006.337,100.167,96.12,1054.8989,112.7
2005/1/11,837.861,997.135,1008.343,100.341,96.31,1062.1671,113
2005/1/12,837.244,996.748,1008.62,100.376,96.24,1075.5663,113.29
2005/1/13,834.221,996.877,1013.07,100.298,96.38,1072.8754,114.17
2005/1/14,829.042,988.306,1000.169,100.677,96.53,1072.5734,113.67
2005/1/17,811.554,967.452,977.522,100.826,96.77,1076.6502,113.3
2005/1/18,817.309,974.689,991.419,100.548,96.93,1074.5467,113.42
2005/1/19,810.989,967.21,986.241,100.766,97.04,1080.6948,113.38
2005/1/20,805.081,956.245,972.463,100.705,97.12,1081.3013,113.25
2005/1/21,831.847,982.604,988.519,100.963,97.24,1091.7923,113.2
2005/1/24,842.414,998.133,1008.175,101.158,97.29,1102.8736,114.2
2005/1/25,841.64,997.775,999.553,101.008,97.4,1100.3414,114
2005/1/26,834.669,989.928,987.955,100.858,97.53,1089.7272,113.16
2005/1/27,821.705,974.631,971.373,100.901,97.56,1099.9542,113.67
2005/1/28,820.689,969.209,952.413,101.166,97.76,1102.2957,113.56
2005/1/31,813.753,954.879,922.653,101.18,97.93,1100.2269,113.32
2005/2/1,817.872,955.951,913.331,101.171,97.85,1103.2294,113.13
2005/2/2,860.504,1006.913,964.243,101.304,97.87,1106.5648,112.86
2005/2/3,848.486,993.215,945.312,101.208,97.87,1098.5415,112.82
2005/2/4,872.884,1016.858,962.028,101.364,98.06,1106.9721,111.84
2005/2/16,875.46,1023.584,972.337,102.086,98.23,1123.4846,113.04
2005/2/17,870.085,1020.606,977.272,101.853,98.43,1124.4186,113.23
2005/2/18,856.212,1006.055,964.769,101.989,98.69,1135.7256,113.8
2005/2/21,874.021,1025.633,981.819,101.907,98.91,1133.6454,113.9
2005/2/22,887.07,1046.744,1007.688,101.771,98.96,1144.5183,114.76
2005/2/23,877.914,1043.944,1019.258,102.809,98.89,1137.4034,115.84
2005/2/24,877.345,1045.46,1024.446,101.878,99.04,1150.9043,115.94
2005/2/25,878.503,1046.761,1024.118,102.485,99.14,1144.0445,115.6
2005/2/28,868.886,1039.989,1020.847,102.569,99.35,1157.3075,116.45
2005/3/1,866.258,1035.934,1021.162,102.31,99.92,1150.9873,116.19
2005/3/2,855.879,1021.32,1006.148,102.254,99.98,1152.6088,115.64
2005/3/3,861.688,1027.71,1011.288,102.061,99.99,1150.003,116.22
2005/3/4,859.489,1023.667,1003.21,102.079,99.97,1148.192,115.88
2005/3/7,863.704,1029.871,1006.953,102.282,100.03,1151.0256,116.29
2005/3/8,876.344,1048.987,1029.457,102.171,100.14,1154.5025,116.68
2005/3/9,869.403,1046.544,1032.55,102.28,100.32,1170.6935,117.3
2005/3/10,851.531,1022.413,1005.545,102.54,100.31,1171.7302,117.79
2005/3/11,853.898,1027.429,1009.434,102.738,100.46,1163.752,117.64
2005/3/14,857.614,1031.026,1007.766,102.827,100.56,1167.184,117.94
2005/3/15,840.955,1013.523,993.831,102.925,100.93,1176.9075,117.99
2005/3/16,832.823,1003.065,983.916,102.889,101.2,1198.1583,117.78
2005/3/17,826.683,992.863,970.966,103.459,101.46,1205.8348,118.3
2005/3/18,821.028,978.665,949.509,103.783,101.78,1185.916,117.73
2005/3/21,823.129,981.893,949.553,103.797,101.69,1176.5137,117.46
2005/3/22,808.104,964.024,922.564,103.596,101.62,1171.6746,116.55
2005/3/23,801.981,959.01,923.194,103.362,101.56,1163.0905,116.5
2005/3/24,808.18,964.801,933.347,103.468,101.43,1165.7143,116.54
2005/3/25,806.425,962.955,931.417,103.596,101.45,1171.3379,115.45
2005/3/28,805.556,960.696,922.923,103.566,101.62,1169.1076,115.12
2005/3/29,802.739,955.19,916.811,103.627,101.98,1181.159,115.04
2005/3/30,790.58,937.034,888.949,103.643,102.03,1184.231,114.45
